pid,neighborhood,overall_qual,year_built,lot_area,gr_liv_area,total_bsmt_sf,full_bath,bedroom_abvgr,garage_cars,garage_type,kitchen_qual,bsmt_qual,saleprice,pricepersf
528358010,NoRidge,7,1996,10593,1720,1720.0,2,3,2.0,Attchd,Gd,Gd,260400,151.4
528363130,NoRidge,8,1994,12256,2622,1463.0,2,3,2.0,Attchd,Gd,Ex,325000,123.95
528382020,NoRidge,8,1999,11764,2270,1152.0,2,4,3.0,Attchd,Gd,Gd,290000,127.75
528382030,NoRidge,7,1998,16770,1839,1195.0,2,4,2.0,Attchd,TA,Gd,221000,120.17
528386040,NoRidge,8,1995,14720,3238,2033.0,2,4,3.0,Attchd,Gd,Gd,410000,126.62
528445060,Somerst,8,2005,8987,1595,1595.0,2,2,3.0,Attchd,Gd,Gd,221500,138.87
528456160,Somerst,7,2009,9215,1218,1218.0,2,2,2.0,Attchd,Gd,Gd,204500,167.9
528458070,Somerst,7,2009,8640,1547,756.0,2,3,2.0,Attchd,Gd,Gd,215200,139.11
528458110,Somerst,8,2008,9000,1566,1566.0,2,3,2.0,Attchd,,Gd,262500,167.62
528477080,Somerst,7,2004,12552,1947,991.0,2,3,2.0,Attchd,Gd,Gd,254900,130.92
528480090,Somerst,6,2005,10440,1468,1468.0,2,2,2.0,Attchd,Gd,Ex,271500,184.95
531367050,SawyerW,7,2004,10142,2084,956.0,2,4,2.0,BuiltIn,,Gd,233000,111.8
531369060,SawyerW,7,2004,11920,1659,831.0,2,3,2.0,Attchd,Gd,Gd,181000,109.1
531380080,SawyerW,7,1994,8880,2110,948.0,2,3,2.0,Attchd,Gd,Gd,205000,97.16
531451110,SawyerW,6,1980,8012,923,923.0,2,2,1.0,Attchd,TA,Gd,143000,154.93
531451280,SawyerW,6,1992,11218,1845,1055.0,2,3,2.0,Attchd,Gd,Gd,189000,102.44
531452020,SawyerW,6,1979,7892,918,918.0,2,2,1.0,Attchd,TA,Gd,99500,108.39
531452050,SawyerW,6,1984,7175,752,744.0,1,2,1.0,Attchd,TA,Gd,125000,166.22
531452180,SawyerW,7,1993,9453,1744,996.0,2,3,2.0,Attchd,Gd,Gd,194500,111.53
531453010,SawyerW,6,1984,9672,1097,1040.0,2,3,2.0,Attchd,TA,Gd,152000,138.56
531453040,SawyerW,6,1980,8400,1564,650.0,2,3,2.0,Attchd,TA,Gd,171000,109.34
531477050,SawyerW,5,1920,9800,1012,816.0,1,2,1.0,Detchd,TA,TA,67500,66.7
532351140,Sawyer,6,1978,8930,1902,0.0,2,4,2.0,Attchd,TA,,112000,58.89
532354090,Sawyer,5,1961,11782,1155,1109.0,1,3,2.0,Detchd,Gd,TA,148000,128.14
532376160,Sawyer,5,1965,8450,894,894.0,1,3,1.0,Detchd,TA,TA,138500,154.92
532377060,Sawyer,5,1967,9819,900,882.0,1,3,1.0,Detchd,TA,TA,122000,135.56
532377100,Sawyer,5,1963,7500,1040,1040.0,1,3,1.0,Attchd,TA,TA,133000,127.88
532378110,Sawyer,5,1962,6897,1040,1040.0,1,3,1.0,Detchd,TA,TA,127000,122.12
532479070,Sawyer,6,1974,15410,1494,1208.0,2,3,2.0,Attchd,TA,TA,169000,113.12
533130020,NoRidge,7,1992,10186,1923,750.0,2,3,2.0,Attchd,Gd,Gd,190000,98.8
533130130,NoRidge,8,1993,13143,2349,1231.0,2,4,3.0,Attchd,Gd,Gd,362500,154.32
533130160,NoRidge,8,1992,11134,2225,1390.0,2,4,3.0,Attchd,Gd,Gd,285000,128.09
533205060,Somerst,7,2004,4835,1488,1488.0,2,2,2.0,Attchd,Gd,Ex,260000,174.73
533208090,Somerst,7,2004,3515,1680,840.0,2,2,2.0,Attchd,Gd,Gd,190000,113.1
533210060,Somerst,7,2004,3215,1200,600.0,2,2,2.0,Detchd,Gd,Gd,155000,129.17
533212010,Somerst,7,2004,3182,1200,600.0,2,2,2.0,Detchd,Gd,Gd,151000,125.83
533212020,Somerst,7,2004,2544,1200,600.0,2,2,2.0,Detchd,Gd,Gd,149500,124.58
533212060,Somerst,6,2005,2544,1236,600.0,2,2,2.0,Detchd,Gd,Gd,152000,122.98
533213030,Somerst,7,2009,4403,1478,1470.0,2,2,2.0,Attchd,,Ex,222000,150.2
533221090,Somerst,6,2000,2117,1573,756.0,2,3,2.0,Detchd,Gd,Gd,177500,112.84
533221110,Somerst,6,2000,2980,1512,756.0,2,2,2.0,Detchd,Gd,Gd,177000,117.06
533223020,Somerst,7,1999,2572,1416,696.0,2,3,2.0,Detchd,Gd,Gd,155000,109.46
533223100,Somerst,7,2003,2403,1080,530.0,2,2,2.0,Attchd,Gd,Gd,147110,136.21
533238045,Somerst,8,2010,12853,1418,1642.0,1,1,3.0,Attchd,Gd,Ex,267916,188.94
533244030,Somerst,8,2000,7379,1848,975.0,2,3,2.0,Attchd,Gd,Gd,254000,137.45
533253060,Greens,8,1980,4420,788,728.0,1,1,2.0,Detchd,Gd,Gd,155000,196.7
533253210,Greens,8,1978,3880,1226,1226.0,1,1,2.0,Attchd,Gd,Gd,206000,168.03
533352170,Sawyer,6,1976,13517,1479,725.0,2,3,2.0,Attchd,Gd,TA,130500,88.24
534102025,Somerst,7,2002,8000,1492,1492.0,2,3,2.0,Attchd,Gd,Gd,230000,154.16
534129040,NWAmes,6,1967,10456,1829,1829.0,2,4,2.0,Attchd,TA,TA,218500,119.46
534151175,NWAmes,6,1993,10791,2495,1280.0,2,4,2.0,Attchd,Gd,Gd,243500,97.6
534152050,NWAmes,6,1977,10603,1610,1610.0,2,3,2.0,Attchd,Gd,TA,205000,127.33
534152070,NWAmes,6,1978,18837,1891,1224.0,3,3,2.0,Attchd,TA,Gd,212500,112.37
534152100,NWAmes,7,1988,10421,1714,980.0,2,3,2.0,Attchd,TA,Gd,196500,114.64
534176060,NWAmes,6,1972,9360,1381,1161.0,1,3,2.0,Attchd,Gd,TA,197500,143.01
534176230,NWAmes,6,1971,9600,1645,715.0,1,4,2.0,Attchd,TA,TA,171000,103.95
534202160,NAmes,5,1966,9600,1232,1232.0,1,3,2.0,Attchd,TA,TA,142250,115.46
534251320,NWAmes,6,1963,9790,1328,1328.0,1,3,2.0,Attchd,TA,TA,143000,107.68
534276360,NAmes,4,1959,9320,1225,950.0,1,3,0.0,,TA,TA,128950,105.27
534401110,NAmes,5,1966,9900,1209,1209.0,1,3,2.0,Attchd,TA,Gd,159000,131.51
534401140,NAmes,5,1967,9680,1510,1510.0,2,3,2.0,Attchd,Gd,TA,178900,118.48
534403360,NAmes,6,1964,10600,1775,533.0,2,3,2.0,Attchd,TA,TA,136300,76.79
534403410,NAmes,5,1964,14112,1152,1152.0,1,3,2.0,Attchd,TA,TA,180500,156.68
534425310,NAmes,6,1963,8800,1054,936.0,1,3,2.0,Attchd,Gd,TA,137500,130.46
534427010,NAmes,5,1962,13260,1728,1728.0,2,6,0.0,,TA,TA,84900,49.13
534430080,NAmes,5,1950,9717,1078,1078.0,1,2,1.0,Attchd,Gd,TA,142125,131.84
534431050,NAmes,5,1952,9724,2461,1140.0,2,3,2.0,Detchd,TA,TA,197600,80.29
534431070,NAmes,6,1949,17360,1556,782.0,2,3,2.0,Attchd,TA,TA,172500,110.86
534450180,BrkSide,5,1958,7207,858,858.0,1,2,0.0,,TA,TA,116500,135.78
534451150,BrkSide,3,1940,5350,1306,728.0,1,3,0.0,,Fa,TA,76500,58.58
534475100,NAmes,5,1954,9920,1063,1056.0,1,3,1.0,Attchd,TA,TA,128000,120.41
534476260,NAmes,6,1955,9600,1520,1156.0,1,3,1.0,Basment,TA,TA,153000,100.66
534479320,NAmes,5,1954,7800,1268,1268.0,1,2,1.0,Attchd,TA,TA,132000,104.1
535101020,NAmes,6,1966,11380,1128,1080.0,1,2,1.0,Attchd,Gd,TA,178000,157.8
535106190,NAmes,5,1960,11600,2274,1105.0,2,5,2.0,Detchd,TA,TA,154300,67.85
535125010,NAmes,7,1970,19900,2207,1947.0,2,3,2.0,Attchd,TA,Gd,180000,81.56
535126040,NAmes,6,1966,16492,1888,1517.0,2,2,2.0,Attchd,Gd,TA,190000,100.64
535152010,NAmes,5,1958,8267,1604,1604.0,2,4,2.0,Attchd,TA,TA,135000,84.16
535152050,NAmes,7,2003,8197,1480,1480.0,2,3,2.0,Attchd,Gd,Gd,214000,144.59
535152130,NAmes,5,1959,8050,1143,1143.0,1,3,1.0,Attchd,TA,TA,136000,118.99
535152150,NAmes,5,1959,10552,1700,1398.0,1,4,2.0,Attchd,Gd,TA,165500,97.35
535152250,NAmes,5,1957,8400,1314,1314.0,1,3,1.0,Attchd,TA,TA,145000,110.35
535153070,NAmes,6,1959,8760,1194,1194.0,1,3,1.0,Attchd,TA,TA,148000,123.95
535154050,NAmes,5,1959,12160,1188,1188.0,1,3,2.0,Attchd,TA,TA,142000,119.53
535175070,NAmes,5,1960,9300,1264,1268.0,1,3,2.0,Attchd,TA,TA,167500,132.52
535175180,NAmes,5,1959,10725,1206,1206.0,1,3,1.0,Attchd,TA,TA,108538,90.0
535179020,NAmes,6,1959,10032,1580,1244.0,1,3,2.0,Attchd,TA,TA,159500,100.95
535180130,NAmes,4,1956,8382,1337,832.0,1,3,1.0,Attchd,TA,TA,108000,80.78
535302080,NAmes,5,1952,10950,1064,864.0,1,2,1.0,Detchd,Fa,TA,135000,126.88
535302200,NAmes,5,1955,10895,972,972.0,1,3,1.0,Attchd,TA,TA,122500,126.03
535304060,NAmes,5,1958,13587,988,988.0,1,2,1.0,Attchd,TA,TA,119000,120.45
535304180,NAmes,5,1953,7922,1057,1057.0,1,3,1.0,Detchd,Gd,TA,109000,103.12
535325400,NAmes,4,1920,7898,985,576.0,1,2,2.0,Detchd,TA,TA,105000,106.6
535327140,NAmes,5,1955,7200,827,0.0,1,2,1.0,Detchd,TA,,107500,129.99
535350030,NAmes,5,1954,10200,1086,1086.0,1,3,2.0,Attchd,TA,TA,144900,133.43
535350040,NAmes,5,1956,5868,936,936.0,1,2,1.0,Attchd,TA,TA,129000,137.82
535353190,NAmes,6,1948,17503,1458,912.0,1,3,1.0,Attchd,TA,TA,97500,66.87
535377090,OldTown,6,1980,6979,1056,1056.0,0,0,2.0,Detchd,TA,TA,144000,136.36
535401080,NAmes,5,1959,9830,1287,1063.0,1,3,2.0,Detchd,Gd,TA,162000,125.87
535425010,NAmes,7,1967,11275,2978,710.0,2,5,2.0,BuiltIn,Gd,Gd,242000,81.26
535450210,NAmes,6,1948,8064,1224,816.0,1,3,1.0,Detchd,TA,TA,132000,107.84
535453070,NAmes,5,1959,7500,1246,1246.0,1,3,1.0,Attchd,Gd,TA,154000,123.6
535454070,NAmes,5,1952,8520,1385,910.0,2,4,2.0,Detchd,TA,TA,166000,119.86
535456110,NAmes,5,1951,7200,900,900.0,1,3,2.0,Detchd,Gd,TA,134800,149.78
535457010,NAmes,6,1962,10000,1116,1116.0,1,3,2.0,Attchd,TA,TA,160000,143.37
535457090,NAmes,5,1960,7635,1175,1175.0,1,3,2.0,Detchd,TA,TA,148000,125.96
535476350,NAmes,6,1963,9760,1395,1395.0,1,2,2.0,Attchd,TA,TA,192000,137.63
535477020,NAmes,6,1966,7700,1839,756.0,1,4,2.0,Attchd,TA,TA,155000,84.28
902102100,OldTown,4,1900,4800,1844,709.0,1,3,1.0,Basment,TA,TA,80400,43.6
902104060,OldTown,4,1910,8800,1140,576.0,1,3,0.0,,TA,TA,96500,84.65
902106130,OldTown,5,1920,4485,936,936.0,1,2,0.0,,TA,TA,109500,116.99
902106140,OldTown,5,1927,8960,1028,1008.0,1,2,2.0,Detchd,TA,TA,115000,111.87
902110090,OldTown,5,1957,5805,1347,1347.0,1,3,2.0,Detchd,Gd,TA,143000,106.16
902125080,OldTown,3,1915,5790,1605,840.0,2,3,1.0,Detchd,TA,Fa,107400,66.92
902125160,OldTown,4,1945,4608,747,747.0,1,2,1.0,Attchd,TA,TA,80000,107.1
902128170,OldTown,5,1940,7200,804,788.0,1,2,1.0,Attchd,Gd,TA,119000,148.01
902206040,OldTown,5,1929,5500,1316,926.0,1,3,2.0,Detchd,TA,TA,130000,98.78
902206130,OldTown,6,1938,6900,1251,827.0,1,3,1.0,Detchd,Fa,Gd,119000,95.12
902206220,OldTown,5,1948,11851,1633,1027.0,1,3,1.0,Detchd,Gd,TA,129000,79.0
902206240,OldTown,5,1920,8239,1245,1008.0,1,3,1.0,Detchd,TA,TA,100000,80.32
902207130,OldTown,2,1923,9656,832,678.0,1,2,2.0,Detchd,TA,Fa,12789,15.37
902207140,OldTown,6,1928,8520,720,624.0,1,2,2.0,Detchd,TA,TA,105900,147.08
902305110,OldTown,8,1900,9600,1566,930.0,2,3,1.0,Detchd,Gd,TA,150000,95.79
902327040,OldTown,5,1915,10800,1652,686.0,2,4,1.0,Detchd,TA,Fa,139000,84.14
902329030,OldTown,8,1890,9000,2268,346.0,3,3,2.0,Detchd,Gd,Fa,240000,105.82
902401060,OldTown,5,1910,9045,2256,840.0,2,4,0.0,,Fa,TA,76500,33.91
902402010,OldTown,6,1957,7407,1236,912.0,1,2,2.0,Attchd,TA,TA,149700,121.12
902402130,OldTown,4,1910,7740,1363,622.0,1,3,2.0,Detchd,TA,Fa,125500,92.08
902402250,OldTown,4,1885,11340,2290,777.0,2,4,2.0,Detchd,TA,TA,122500,53.49
902403070,OldTown,6,1922,10560,1470,738.0,1,2,2.0,Detchd,TA,Fa,140750,95.75
903204040,BrkSide,5,1950,5830,1612,988.0,1,3,1.0,Detchd,TA,TA,128500,79.71
903206120,BrkSide,7,1922,7793,2068,1108.0,1,3,1.0,Detchd,Gd,Gd,209500,101.31
903225150,BrkSide,4,1925,5000,765,765.0,1,2,1.0,Detchd,Gd,TA,87000,113.73
903226160,BrkSide,6,1939,6000,1132,608.0,1,2,1.0,Detchd,TA,TA,134000,118.37
903227020,BrkSide,6,1940,6000,1196,572.0,1,3,2.0,Detchd,TA,TA,128000,107.02
903227150,BrkSide,5,1942,6360,1453,835.0,1,3,1.0,Detchd,Gd,TA,132000,90.85
903228150,BrkSide,6,1948,6000,1416,780.0,1,3,1.0,Detchd,TA,TA,139900,98.8
903232190,BrkSide,5,1936,6240,1040,528.0,1,2,2.0,Detchd,TA,TA,123900,119.13
903233120,BrkSide,5,1930,6240,1536,928.0,2,4,2.0,Detchd,TA,TA,138400,90.1
903234050,OldTown,6,1923,6120,1068,1124.0,1,2,1.0,Detchd,TA,Fa,109500,102.53
903425110,OldTown,7,1921,10300,1710,576.0,2,3,2.0,Detchd,TA,TA,140000,81.87
903426180,OldTown,4,1915,8094,1962,888.0,1,4,2.0,Detchd,TA,TA,149500,76.2
903426200,OldTown,6,1912,12900,1560,780.0,1,3,0.0,,Gd,TA,159900,102.5
903430080,OldTown,6,1920,3068,1324,662.0,1,3,1.0,Detchd,TA,TA,122000,92.15
903450110,IDOTRR,5,1963,8472,816,816.0,1,2,2.0,CarPort,TA,Gd,110000,134.8
903454060,IDOTRR,4,1930,5600,1092,0.0,2,3,0.0,,Fa,,55000,50.37
903476030,OldTown,5,1900,7630,1812,360.0,2,4,2.0,Detchd,Gd,Gd,140000,77.26
904100140,ClearCr,7,1940,24090,2403,1032.0,2,4,1.0,Attchd,TA,TA,244400,101.71
904101110,ClearCr,5,1959,15263,1675,1422.0,2,3,1.0,Attchd,TA,Gd,173000,103.28
904300150,ClearCr,5,1917,10632,1224,689.0,1,3,1.0,Detchd,Po,Gd,107500,87.83
904302260,SWISU,5,1915,9900,1392,1212.0,1,3,0.0,,TA,TA,100000,71.84
904350045,SWISU,6,1940,6001,919,600.0,1,3,1.0,Detchd,TA,Fa,95000,103.37
904351040,SWISU,4,1907,6449,1884,707.0,1,4,0.0,,TA,TA,93369,49.56
904352190,SWISU,5,1910,6048,1680,856.0,2,2,2.0,Detchd,TA,TA,114900,68.39
905101100,Sawyer,5,1875,6342,1020,780.0,1,2,0.0,,TA,TA,94000,92.16
905101300,Sawyer,4,1967,10773,1832,1832.0,2,4,0.0,,TA,TA,136000,74.24
905101310,Sawyer,4,1968,10778,1768,1768.0,2,4,0.0,,TA,TA,136500,77.21
905102060,Sawyer,5,1965,11625,1039,1039.0,1,3,2.0,Attchd,TA,TA,131500,126.56
905103060,Sawyer,5,1957,11341,1392,1392.0,1,3,2.0,Detchd,TA,Gd,121500,87.28
905104210,Sawyer,5,1967,8521,912,912.0,1,3,1.0,Detchd,TA,TA,125000,137.06
905105070,Sawyer,5,1968,8246,1060,1060.0,1,3,1.0,Attchd,Gd,TA,154000,145.28
905105200,Sawyer,5,1966,7800,892,864.0,1,3,1.0,Detchd,Gd,TA,137900,154.6
905106140,Sawyer,6,1969,9364,1352,663.0,1,4,1.0,Attchd,TA,TA,158000,116.86
905106170,Sawyer,5,1968,7832,864,864.0,1,2,1.0,Detchd,TA,TA,137250,158.85
905107110,Sawyer,5,1978,7424,1373,1319.0,1,3,2.0,Attchd,TA,Gd,160250,116.72
905107250,Sawyer,5,1968,11227,1440,720.0,1,4,2.0,Attchd,TA,TA,163000,113.19
905107320,Sawyer,6,1978,11616,1386,672.0,2,3,2.0,Attchd,TA,TA,158900,114.65
905109130,ClearCr,7,1996,14000,2260,1306.0,2,3,2.0,Attchd,Gd,Ex,328000,145.13
905109170,ClearCr,7,1977,20062,1483,1420.0,1,1,2.0,Attchd,TA,Gd,270000,182.06
905201030,Sawyer,4,1927,9259,756,660.0,1,2,2.0,Detchd,TA,Fa,85000,112.43
905202090,Sawyer,4,1950,9600,1067,1067.0,2,2,2.0,Attchd,Gd,Gd,128000,119.96
905325030,ClearCr,7,1979,23595,1524,1332.0,0,0,2.0,Attchd,Gd,Gd,260000,170.6
905352140,ClearCr,6,1978,17082,1981,1117.0,2,4,2.0,Attchd,Gd,Gd,230000,116.1
905378040,Edwards,3,1938,18600,1610,972.0,2,4,1.0,Attchd,Fa,TA,124000,77.02
905426060,Edwards,5,1920,10625,835,458.0,1,2,1.0,Basment,TA,TA,83000,99.4
905426200,Edwards,6,1950,11479,1074,663.0,1,3,1.0,Attchd,Gd,TA,144500,134.54
905451320,Edwards,5,1956,9571,1144,1144.0,1,3,1.0,Attchd,TA,TA,129000,112.76
905452110,Edwards,4,1947,9350,1531,756.0,1,3,1.0,Detchd,TA,TA,127000,82.95
905452160,Edwards,5,1954,9525,1172,1172.0,1,3,1.0,Attchd,TA,TA,128000,109.22
905453040,Edwards,6,2009,10420,1212,1212.0,2,3,2.0,Attchd,Gd,Gd,186000,153.47
905453080,Edwards,7,2009,17485,1508,1508.0,1,1,2.0,Attchd,Gd,Gd,308030,204.26
905475510,Edwards,5,1964,11200,1298,1250.0,2,3,2.0,Detchd,TA,TA,114000,87.83
905478190,Edwards,4,1946,11100,930,0.0,1,2,1.0,Detchd,Gd,,84900,91.29
906201030,SawyerW,6,1985,9206,1732,741.0,2,3,2.0,Attchd,Gd,Gd,178000,102.77
906201120,SawyerW,7,1987,11980,1433,1433.0,1,1,2.0,Attchd,Gd,Gd,270000,188.42
906204230,SawyerW,6,1993,12361,1802,946.0,2,3,4.0,2Types,Gd,Gd,218000,120.98
906223090,SawyerW,7,1993,9938,1949,1050.0,2,3,2.0,Attchd,Gd,Gd,236000,121.09
906225210,SawyerW,6,1992,9069,996,936.0,1,2,2.0,Attchd,Gd,Gd,147000,147.59
906378100,CollgCr,8,2008,10475,1694,1694.0,2,3,3.0,Attchd,Gd,Gd,245350,144.83
906380190,CollgCr,7,2006,6762,1208,1187.0,2,2,2.0,Attchd,Gd,Gd,206000,170.53
906385010,CollgCr,7,2009,10402,1226,1226.0,2,3,3.0,Attchd,Gd,Gd,198900,162.23
906385020,CollgCr,7,2010,7360,1222,1222.0,2,2,2.0,Attchd,Gd,Gd,187000,153.03
906402200,SawyerW,7,1990,12376,3222,1673.0,3,5,3.0,Attchd,Gd,Gd,320000,99.32
906425045,SawyerW,6,1900,14235,1445,676.0,2,3,2.0,Detchd,TA,Fa,138500,95.85
906477110,ClearCr,6,1971,8816,1052,1010.0,1,3,2.0,Attchd,TA,TA,155000,147.34
907125090,CollgCr,5,1996,11105,965,870.0,1,2,2.0,Attchd,TA,Gd,159000,164.77
907180050,CollgCr,7,1997,9337,1692,878.0,2,3,2.0,Attchd,TA,Gd,191000,112.88
907185060,CollgCr,6,1998,8750,1682,804.0,2,3,2.0,Attchd,Gd,Gd,200500,119.2
907200280,CollgCr,5,1977,15240,1026,1026.0,1,3,1.0,Attchd,TA,Gd,150000,146.2
907200290,CollgCr,6,1977,10900,1392,689.0,1,3,1.0,Attchd,TA,Gd,161750,116.2
907200340,CollgCr,5,1976,10650,894,894.0,1,3,1.0,Attchd,TA,TA,128200,143.4
907203070,CollgCr,5,1972,7480,876,876.0,1,3,2.0,Detchd,TA,TA,127000,144.98
907250030,CollgCr,8,2003,10389,1978,1978.0,2,3,3.0,Attchd,Gd,Gd,318000,160.77
907252120,CollgCr,8,2001,11423,1601,1581.0,2,3,2.0,Attchd,Gd,Gd,272000,169.89
907262050,CollgCr,7,2003,9548,1829,941.0,2,3,2.0,Attchd,Gd,Gd,237000,129.58
907280040,CollgCr,7,1997,9375,2098,1040.0,2,4,2.0,Attchd,Gd,Gd,240000,114.39
