customer_id,engagement_score,billing_stability,tenure_months,avg_session_seconds,monthly_spend_usd,support_tickets_90d,late_payments_12m,marketing_emails_opened_30d,region,plan_type,primary_device,churned_next_month
1647,90.25765604744807,0.6860464445250886,30,356,116.11678560879515,2,0,3,Northeast,Pro,Desktop,1.0
2479,83.08101335904921,0.5674473734832062,37,325,131.23479469490343,0,0,4,South,Pro,Desktop,0.0
1490,32.87735899876496,0.7230166133225862,12,247,34.987448387048715,0,3,2,Mountain,Standard,Mobile,
1791,74.50960576926889,0.8539167879865621,12,270,61.689086955071694,1,1,1,South,Basic,Mobile,0.0
2084,93.56859314867721,0.5197613899661354,50,358,149.65542720381907,1,1,2,Northeast,Standard,Desktop,0.0
2375,79.92063447047506,0.3486808317877789,25,358,79.04240572493445,2,0,1,South,Basic,Desktop,0.0
2058,62.847104368759936,0.6084815300060878,29,343,19.436960097063476,2,1,2,Midwest,Basic,Mobile,0.0
1202,63.26906766709773,0.6518007419661831,32,278,58.50528184911585,0,2,7,Midwest,Standard,Mobile,0.0
2759,39.95252805353944,0.9400166761435786,35,233,58.79382048547897,0,1,4,Mountain,Standard,Desktop,0.0
2052,73.54773481576717,0.5020489027886573,18,305,83.34363955502124,3,0,3,Midwest,Basic,Tablet,1.0
372,45.07530389924199,0.46450085237219485,24,320,49.478887500420925,3,1,1,Mountain,Basic,Desktop,0.0
2595,34.653016983484505,0.9392105425193636,22,43,51.861989172278996,0,3,3,Mountain,Pro,Mobile,0.0
985,28.17119403907072,0.5000598207105716,7,68,61.49967309138711,2,2,3,West,Pro,Mobile,0.0
1164,42.71804566168744,0.6223978457514923,3,85,43.88407843673477,1,0,4,Midwest,Standard,Mobile,0.0
1266,95.23271724920926,-0.005728038451360495,36,412,,2,0,2,Northeast,Basic,Desktop,0.0
2776,57.95833229608712,0.8565482945181792,26,255,61.33804077349948,2,0,3,Midwest,Basic,Mobile,0.0
1862,28.966950151555608,0.431993128120317,17,86,45.921335207169804,4,2,1,Mountain,Basic,Desktop,1.0
1495,77.41735974630555,0.35799419808892124,23,444,57.22214083172318,2,0,4,Midwest,Standard,Desktop,0.0
691,67.34504561667178,0.5958471824480744,19,440,62.23369289788164,1,0,5,South,Basic,Mobile,0.0
620,55.621273441171574,0.4859322676115996,19,280,20.662729197019203,2,1,3,South,Basic,Mobile,0.0
164,69.9319293648547,0.49019024970210784,27,298,81.12050734771321,1,0,1,South,Standard,Mobile,1.0
2232,32.475250120952836,0.808871717744177,24,244,33.39405373111289,1,1,3,Midwest,Basic,Desktop,1.0
1041,68.89704122421408,0.5319154936226647,27,346,47.15732124785646,2,1,3,Midwest,Basic,Desktop,1.0
1688,71.96610486410633,0.2416804660363289,40,473,66.2418124632476,3,1,3,South,Basic,Mobile,0.0
2878,60.070950428906485,0.598953650886201,36,348,86.70279630831884,2,1,3,Northeast,Standard,Mobile,1.0
2567,65.11877016625597,0.16571967143170546,13,391,75.86642922219812,1,1,1,Midwest,Standard,Desktop,1.0
2672,72.02616841116611,0.6813572564898647,16,340,67.51132426408552,2,0,3,Northeast,Pro,Desktop,0.0
2565,23.011696800178438,0.7519054417850426,5,129,95.1070920513861,0,3,2,West,Standard,Desktop,
505,63.10546478506018,0.9672101124932991,12,271,48.58544607454512,1,1,5,Mountain,Standard,Desktop,1.0
1944,55.826513291915376,,42,256,75.4039343022174,0,0,6,Midwest,Pro,Mobile,0.0
1208,56.884655285813686,0.111177976978518,17,274,,2,0,5,Mountain,Basic,Mobile,1.0
908,73.58928275927066,0.37613232272602704,13,531,30.253621761493335,0,1,3,Midwest,Standard,Desktop,1.0
2740,82.08260832845174,0.5511000011419898,25,372,131.7755810291655,1,0,2,South,Standard,,0.0
1222,33.351100046228794,0.7494647970807342,15,123,89.64078651345174,0,1,2,Mountain,Standard,Mobile,
1813,62.1863965631065,0.16414771994524907,48,310,54.75290228047266,1,2,4,South,Basic,Desktop,0.0
651,59.13820013888099,0.46355787203655363,26,321,47.243569322192286,1,1,2,South,Basic,,0.0
1737,64.86619453544527,0.32545817598988525,29,379,69.5407386751722,1,0,2,Midwest,Basic,Mobile,
1429,65.46291925048568,0.6394104090485161,29,223,55.23433215040382,1,1,6,South,Standard,Desktop,1.0
1362,71.99064422027281,0.3777482029159829,14,287,69.46832486034538,2,1,1,Northeast,Basic,Desktop,1.0
708,46.46633940008974,0.5284468878773415,6,135,30.89674135623554,1,0,1,Mountain,Basic,Desktop,1.0
2849,34.425823230860864,0.6420868849267583,21,128,68.8373732489801,3,3,3,West,Basic,Mobile,1.0
2970,77.74830981056904,0.2843823101047346,30,407,73.47753870796778,4,1,2,South,Basic,Mobile,
1133,48.3178238697526,0.9795193301818121,11,134,65.98892426087565,0,1,2,South,Standard,Mobile,0.0
2901,34.53304136311671,0.8023443685181272,22,20,67.72218343615357,0,2,1,West,Enterprise,Mobile,1.0
1709,84.3551296725517,0.42090901653093793,19,434,101.44086514182116,3,1,1,Northeast,Basic,Mobile,1.0
1881,62.593531434792844,0.24635495384325418,17,339,57.429967615540605,2,1,3,South,Basic,Mobile,0.0
2193,58.75623674324847,0.30619759977802974,18,312,51.125296103369266,1,0,7,South,Pro,Mobile,1.0
1440,56.580491978818344,0.6378487322024758,32,155,45.59907610388785,2,1,2,Mountain,Pro,Mobile,0.0
1459,72.17324323281551,0.3726847612235366,25,235,47.616231133840444,1,0,3,Midwest,Standard,Mobile,1.0
2401,50.872500910427895,0.8679175156996356,14,149,43.123102512491315,0,1,1,Mountain,Standard,Mobile,1.0
2806,58.515341266911165,0.6244359087265455,18,108,53.86276968329706,0,2,3,Midwest,Standard,Desktop,
1286,72.76574893667637,0.2725728728601023,32,370,,2,1,4,South,Basic,Desktop,0.0
2210,76.72495652993686,0.8209946785757964,46,238,81.03428568057191,2,2,3,Midwest,Basic,Tablet,0.0
2357,59.075951466131556,0.5459913442036788,27,459,61.30133137743967,2,0,2,Mountain,Basic,Mobile,0.0
2094,74.32325720250748,0.4080129359342239,31,307,,3,0,4,South,Basic,Desktop,0.0
2675,61.755435123756705,,5,394,31.22851258181286,2,1,4,South,Basic,Mobile,0.0
2571,52.99446732344305,0.48071916152901684,20,197,13.0418002811405,2,1,1,Midwest,Basic,Desktop,1.0
1547,64.56306781260164,0.41273521719717055,36,340,74.76678882618312,2,0,3,Northeast,Basic,Desktop,1.0
576,72.49688499420321,0.6867828761796674,21,250,43.79974928847861,1,0,2,South,Basic,Mobile,1.0
1951,19.481775929634953,0.5166569414041962,0,204,81.49132904717395,1,2,3,West,Pro,Desktop,1.0
641,79.30018687436623,0.37972685756245445,31,399,76.33583483639087,2,1,1,Northeast,Basic,Mobile,0.0
876,52.08689878792182,0.644593857703707,17,242,48.729426263929696,2,1,7,Midwest,Standard,Desktop,0.0
445,46.325035240823155,1.0209386624021095,24,20,,0,1,1,Mountain,Standard,,1.0
1605,80.37330674418358,0.4198430955217065,37,348,,1,1,2,Northeast,Basic,Desktop,0.0
1235,42.51200397678028,1.146543644075345,21,137,49.14691986122411,2,1,4,Midwest,Standard,Mobile,
2425,34.19329587352848,0.8346018863942737,24,126,64.43143271158712,2,0,2,Mountain,Basic,Mobile,0.0
537,71.47096270856365,0.2629930619362079,30,309,,2,1,0,South,Basic,Mobile,0.0
2377,61.75914782727805,0.6445047928021723,36,147,47.2499932679209,1,1,3,South,Pro,Desktop,1.0
1238,72.38263303298577,0.40330163369704997,19,363,57.555892071676446,2,0,5,Midwest,Standard,Desktop,1.0
2834,38.66520969752015,0.8711496415962351,8,161,51.557275021018064,2,0,2,West,Basic,Mobile,1.0
15,41.3721149731031,0.746750859008371,22,105,66.46870025202271,2,2,1,West,Basic,Mobile,
1187,66.61558620100618,0.3183902323350927,32,388,49.78239293709997,1,1,2,Midwest,Basic,Desktop,1.0
1510,79.1541230672071,0.43421565703012777,51,434,129.29885994712853,1,0,0,South,Basic,Mobile,0.0
1056,60.09670692030624,0.38809422921014547,32,119,56.40883913562932,4,1,5,Mountain,Basic,Mobile,0.0
2324,62.51485306448818,0.9594884110926208,23,255,55.50787313582242,0,0,2,Northeast,Standard,Desktop,0.0
2588,48.98655039398464,0.679745294033023,12,297,55.442699440180164,0,1,2,Midwest,Basic,,0.0
1870,64.52543023311915,0.5797715851239403,23,192,40.77544915993133,2,1,1,Midwest,Standard,Tablet,0.0
14,79.26221550435845,0.4244664614267811,17,408,81.18762122802684,1,2,1,South,Basic,Mobile,0.0
2140,33.839912286931295,0.6606017152821401,28,122,53.712330498892925,3,2,4,Mountain,Basic,Mobile,0.0
2409,50.899783487381974,0.497778331818961,8,260,33.3348585963802,0,1,4,Midwest,Basic,Desktop,1.0
1642,48.63464584500227,1.1332186147131194,34,200,55.747562011809556,1,0,4,Mountain,Pro,Mobile,0.0
2410,87.328061778697,0.6373955464334542,39,220,83.76024437927717,0,2,4,Mountain,Basic,Mobile,0.0
2989,75.89091762147012,0.3320670402749097,38,444,82.01497188382855,1,1,3,South,Standard,Desktop,1.0
2816,64.79149895271729,,12,271,36.86444445686423,3,0,1,South,Basic,Desktop,0.0
241,59.907410771744736,0.658535703217514,19,274,44.80726749719848,2,0,3,South,Standard,Mobile,0.0
873,66.58548520729015,0.9164882332064519,8,237,47.76856369383894,1,0,9,Mountain,Basic,Mobile,1.0
129,81.42119967572995,0.5597265850952863,42,295,87.53471183970652,0,1,4,Midwest,Standard,Desktop,1.0
1218,60.46851584458729,,31,339,44.17075581856827,1,2,2,Midwest,Basic,Mobile,0.0
1538,66.94717722823083,0.36609654346535037,30,235,45.68891416501469,1,1,3,South,Basic,Mobile,0.0
1113,58.45468249508325,0.7275504664222822,5,129,26.01949325246933,2,0,2,Midwest,Basic,Mobile,0.0
685,67.44974226406362,0.5441660693802479,18,271,37.502384973129836,1,1,4,Mountain,Basic,Desktop,1.0
1748,59.793853747949825,0.5825900197990082,28,160,35.27307277184618,3,1,2,Midwest,Basic,Mobile,1.0
1617,61.978455951489984,0.5349090313848908,23,291,57.253695999376305,2,2,3,Midwest,Basic,Desktop,
1777,75.19650607104018,0.31664855736843955,32,458,,3,0,8,Northeast,Basic,Mobile,1.0
1321,52.388923104334054,0.7415245910853026,24,201,60.53286411272977,0,2,4,Midwest,Enterprise,,0.0
2865,47.86071281495637,0.6184991133513109,20,63,48.307682008119265,2,1,5,Mountain,Standard,Mobile,1.0
493,81.46025538339534,0.6354967263460762,25,450,108.65366078313835,1,1,1,Northeast,Standard,Mobile,1.0
1972,92.0937011932196,0.23493060638583205,40,370,137.750680024082,0,1,2,South,Basic,Desktop,1.0
1477,73.74918137760939,0.5923269567363796,30,227,30.20764151718531,2,0,2,Midwest,Basic,Mobile,1.0
744,42.376934708891554,0.591280196061011,12,169,63.94246049303098,1,2,3,Mountain,Pro,Mobile,1.0
2242,25.92658023955446,0.8175367985537849,14,63,62.85059220469826,2,1,0,Mountain,Pro,Desktop,1.0
144,55.21664214190124,0.5406383411532873,29,106,72.58124074041089,2,1,1,South,Pro,Desktop,0.0
2271,72.67298770630129,0.5013030474029251,40,346,103.35360821355683,1,1,2,Northeast,Standard,Desktop,0.0
262,79.7235447444162,0.40307436643560823,28,365,109.67481988717005,1,1,3,South,Standard,Mobile,0.0
2866,45.00054217863049,0.5914247108649612,27,247,39.05367732189579,0,1,3,Mountain,Standard,Mobile,
2492,61.86693376794744,0.5049227133642603,14,267,47.10307407840599,0,1,2,South,Pro,Desktop,1.0
418,87.75018362212707,0.4051366568975016,56,597,146.1701387038513,1,0,4,South,Standard,Mobile,1.0
1756,64.05504056389101,0.32683450234862155,36,282,71.6643287735615,1,0,1,Midwest,Standard,,
819,76.28184544401756,0.42837095934015507,34,396,55.5854734944871,3,0,1,Northeast,Basic,Desktop,0.0
1992,43.250060054547774,0.6841181836683585,9,20,54.14852055400293,0,2,3,Mountain,Basic,Mobile,0.0
85,60.9998276373505,0.5903553142219087,22,227,36.894179872081004,2,1,3,Midwest,Standard,Mobile,0.0
858,49.46167053217886,0.4157934994018484,9,273,,1,2,4,Mountain,Basic,Desktop,0.0
1615,74.9599576939819,0.6293736099573379,54,335,100.80923373731183,2,0,3,South,Standard,Mobile,0.0
2723,58.39049085553265,0.6710674830106365,29,143,58.4157336830482,1,0,3,Midwest,Standard,Desktop,0.0
2687,29.891408712028547,0.5956673785028742,2,109,73.60860326833428,3,2,2,West,Standard,Desktop,0.0
2860,49.36661453537788,0.5453479565810101,0,391,16.472753912546715,1,0,2,South,Basic,Mobile,0.0
1298,55.85246133169376,0.27806126453215957,21,225,36.264568022207364,1,1,3,Midwest,Basic,Mobile,1.0
538,56.15498011133369,0.8529279224527807,15,182,54.06263247976172,1,0,0,Midwest,Standard,Desktop,0.0
2904,54.964761054468596,1.044388310187295,49,282,56.83527374494332,0,1,3,South,Standard,Mobile,1.0
2288,26.170168508053273,0.4027067326690644,31,172,41.53666364826415,2,1,2,West,Standard,Desktop,1.0
817,51.54735638324696,0.9927255750008002,36,72,51.470059182688864,1,1,0,Midwest,Pro,Mobile,1.0
2268,66.67916667688617,0.7147281763525914,16,230,62.938410582568665,1,0,4,Midwest,Standard,Tablet,0.0
1648,39.26434868301134,0.2727269982933901,0,148,29.524838810060373,3,2,1,West,Standard,Desktop,1.0
2911,73.30448819311913,,20,397,69.82453867281671,3,0,2,Northeast,Basic,Mobile,1.0
1819,58.8523573806957,0.3847383825524015,33,131,58.18786471709656,1,1,6,Midwest,Standard,Mobile,0.0
951,63.11958176957253,0.7413326402575601,32,247,48.03215269401605,3,2,3,South,Pro,Desktop,0.0
2230,51.02149837927624,0.629739153470106,16,250,32.37897011413235,0,1,7,Mountain,Basic,Desktop,0.0
1918,34.87507323369008,0.49184582581569325,0,148,50.82452775458253,1,1,2,West,Pro,Mobile,0.0
2137,58.83600107146881,1.0672136704727808,21,308,72.61487341194231,2,0,6,South,Pro,Desktop,1.0
416,64.21546026965366,0.3270065853612079,21,278,59.98546848949313,1,1,1,Mountain,Standard,Mobile,1.0
2863,55.923955408348405,0.9251685721251102,28,238,50.19913207693007,2,0,3,Midwest,Pro,Mobile,1.0
2123,54.1258153612589,0.7151231819276478,22,357,36.616229197493155,0,0,2,Mountain,Enterprise,Mobile,
2885,29.382811389055128,0.5230260399160164,3,68,52.91151026809998,1,3,3,West,Standard,Mobile,1.0
2399,81.1477859946408,0.5464073374089922,32,434,,2,0,2,South,Basic,Mobile,0.0
1341,57.96732808232288,1.170255646371887,16,199,51.23951715268331,1,2,0,Mountain,Basic,Desktop,
1935,84.06041725931775,0.4665584537280436,41,326,116.00601611277504,1,0,4,Northeast,Standard,Desktop,1.0
731,65.38577939906158,0.5522255427414017,23,267,79.79421561791617,1,1,3,Midwest,Basic,Desktop,0.0
2764,72.64512683510361,0.5223899856143723,47,360,94.31582233136032,1,2,4,Northeast,Basic,Desktop,
813,86.68111049798078,0.7903789066370581,25,484,141.76805405170887,0,0,2,Northeast,Standard,Mobile,1.0
267,71.00461657388401,0.49824712163021273,36,342,108.00792142603737,2,0,6,South,Pro,Mobile,1.0
1231,65.38740377049251,0.8587407573616403,31,120,30.81760110830845,1,1,0,South,Pro,Mobile,0.0
365,57.03955380997552,1.0447131393373357,1,194,64.68222239284806,1,1,3,South,Standard,Desktop,1.0
2027,48.710973468711096,0.7613897517396209,42,142,58.26419086916921,0,2,4,Mountain,Pro,Mobile,0.0
2880,40.50742564939078,0.47090731222768584,11,204,77.41640030108245,1,2,4,West,Pro,,0.0
1085,46.37181548551115,0.7654539346607295,27,369,69.2212594685242,1,1,1,Mountain,Standard,Desktop,0.0
1848,56.189411020342476,0.8612197330119922,19,183,48.09810948182436,1,1,2,Mountain,Standard,Desktop,0.0
1585,63.896660455207176,0.48284653197287714,47,437,86.8924718905404,0,0,2,Northeast,Basic,Desktop,0.0
1103,34.593916206313445,,6,109,66.58089654473076,2,1,6,West,Standard,Mobile,1.0
1871,83.36270768795858,0.6731597719663901,32,355,151.00128654444686,1,2,1,Northeast,Pro,Mobile,0.0
1155,94.25677055688502,0.87555601823353,46,522,129.69825344209593,1,0,2,Northeast,Basic,Mobile,1.0
38,98.94334039976815,0.496154570554601,38,485,119.4331322439672,2,0,3,Northeast,Standard,Desktop,1.0
2845,48.93207377274292,0.6280808868637103,23,302,60.5767470598219,2,1,2,Midwest,Pro,Desktop,0.0
1715,65.50657810430447,0.6749069207780237,40,271,,1,1,6,Midwest,Basic,Desktop,0.0
484,38.77524093939785,0.7656534146599622,19,159,48.626695890930826,2,0,3,Midwest,Standard,Mobile,1.0
2938,55.81496176379397,0.4451205505741408,36,241,58.67319978253432,1,2,2,South,Pro,Mobile,
1858,62.83865840873192,,17,447,79.00546145422574,3,2,1,Midwest,Basic,Desktop,
2923,49.37995612208483,0.32131521928359674,17,178,,2,1,3,Midwest,Standard,Desktop,0.0
894,61.75914356578899,0.5753601654507986,0,200,43.135038098770515,3,1,5,Mountain,Basic,Mobile,
2532,83.98885296290287,0.6180095896745266,36,418,105.12664134378116,1,0,3,Northeast,Standard,Mobile,1.0
533,49.941178370983764,,11,244,43.358780187399915,2,1,3,South,Standard,Tablet,0.0
1067,41.293797037727785,0.9601451103203557,18,110,60.342112369570145,1,1,3,Mountain,Pro,Tablet,0.0
854,97.5392704200891,0.72944310108903,41,335,,3,2,3,Northeast,Standard,,0.0
824,53.31269294900654,0.8252089303281082,37,264,48.79589803437693,0,0,5,South,Pro,Desktop,1.0
1419,66.96123695735865,0.44281271738437744,26,243,48.99598022488294,1,1,2,Midwest,Standard,Mobile,1.0
381,43.32257120748398,0.8191300770140728,13,321,,1,1,1,West,Basic,Mobile,1.0
199,88.59347382865836,0.46943275237336646,43,305,,1,0,4,Northeast,Basic,Desktop,1.0
2115,58.27868454566908,0.6075522790194118,18,318,65.49723960195145,2,0,4,South,Standard,Mobile,0.0
2912,34.27289776881988,0.8727536955734145,26,44,80.0377981841879,2,0,1,West,Standard,Mobile,0.0
2444,60.05969990977389,0.8633555842191027,25,243,50.073524230854254,1,1,1,Mountain,Basic,Desktop,0.0
2402,50.88354780650505,0.23520619573468887,13,322,,2,0,1,Midwest,Basic,Tablet,1.0
797,61.75573790881137,0.4817689878808718,4,319,,1,1,1,Midwest,Standard,Mobile,0.0
2838,59.63502136867939,0.680543779674796,29,172,37.039820649553235,1,1,2,Mountain,Standard,Tablet,1.0
428,72.0738593440911,,29,255,48.47978245681118,3,1,1,South,Basic,Tablet,1.0
1730,63.40542364992504,0.5022058946181986,41,362,86.82221060047023,1,1,2,Midwest,Standard,Tablet,0.0
2168,65.7719568184979,0.5962366898688394,16,216,51.52155757385061,2,1,4,Midwest,Basic,Mobile,0.0
76,31.51144671530479,1.1858132456707047,26,180,,1,2,3,Midwest,Standard,Desktop,0.0
2498,27.138901824955628,0.5232106552831207,0,156,77.38637222162777,2,3,0,West,Standard,Mobile,0.0
1960,94.0250572448564,0.69457298843748,38,307,158.34589515137216,0,0,2,South,Standard,Mobile,1.0
1014,75.54010883385713,0.9034646281536803,47,242,62.150277625832075,1,0,3,South,Pro,Mobile,1.0
1125,43.50777229306999,0.7737461694058211,24,208,45.1887664151023,1,1,3,Mountain,Basic,,0.0
2134,54.482922005488724,0.7220956612673984,24,384,21.79307298539808,2,1,2,Midwest,Standard,Mobile,1.0
781,56.70591487668162,0.7307845605756133,17,162,38.24033750782652,2,1,6,Mountain,Standard,Mobile,0.0
481,87.85745697572442,0.06905707271809036,44,423,95.76194881803002,1,2,3,Midwest,Standard,Desktop,0.0
1541,60.97182677846845,0.7183239211314947,21,221,63.81541386662819,1,1,4,West,Pro,Tablet,0.0
447,67.55856718986759,0.6899784336991603,31,312,,1,0,4,Midwest,Standard,Mobile,1.0
1827,49.72805784991935,0.41927972832921706,27,271,30.01920101560239,2,1,2,South,Standard,Tablet,1.0
516,35.985890932166214,0.8294127491391227,19,91,49.502815237924594,0,1,3,Mountain,Pro,Mobile,0.0
1517,55.01661491008457,0.7794693747476099,48,189,40.27652364818612,1,1,4,Midwest,Pro,Tablet,1.0
1102,63.87212415017454,0.5037474226219681,37,346,48.07468381138359,2,1,3,South,Standard,Desktop,0.0
2528,60.30894727678327,0.5904939601388978,35,413,62.966903970335736,1,0,2,South,Standard,Mobile,0.0
2839,48.754054243295485,0.5656561862114442,27,282,37.385036469826915,1,1,4,Mountain,Standard,Mobile,0.0
299,51.43491692050635,0.6383142069037342,27,362,,2,2,3,West,Basic,Desktop,1.0
75,56.982439194964066,0.49307626516362013,29,381,38.36352660284047,2,0,2,South,Basic,Mobile,1.0
664,75.47895368010165,0.2697129328024863,12,398,87.98304611359677,2,0,2,Northeast,Standard,Desktop,
874,70.56546738797965,0.6591292711096691,41,528,107.63767123279675,2,1,1,Northeast,Enterprise,Desktop,0.0
1089,57.23791416038131,0.8883023054805819,37,151,55.880823539781424,1,1,1,Mountain,Pro,Desktop,0.0
2003,38.87832478470604,0.513433014267618,11,86,47.53385758487651,0,1,2,Midwest,Standard,Desktop,0.0
860,54.785724824621035,1.0916153414101983,19,293,45.819935984857516,3,2,3,Mountain,Basic,Desktop,1.0
2983,72.68750912704749,0.7345337679639086,30,404,92.2315761321218,1,1,4,South,Pro,Mobile,1.0
1391,61.45621865141544,0.2579611547591065,15,346,,2,0,5,Midwest,Basic,Mobile,1.0
1636,65.37958596257789,0.47888955605520345,13,310,54.83241324834919,0,2,0,Midwest,Standard,Mobile,0.0
1618,61.65866597648206,0.5143749271554485,20,105,46.91550500082824,3,2,3,Midwest,Pro,Mobile,0.0
850,51.981147415151774,0.4705833602948379,21,391,28.9572231123572,2,1,5,South,Basic,Mobile,1.0
345,82.97456892037988,0.3154805758140418,11,429,68.55697658737488,2,1,1,Midwest,Standard,Tablet,1.0
2791,87.71467351942367,0.8674317491004212,41,269,125.82079336894881,1,0,2,Northeast,Standard,,0.0
1754,46.859016829880005,0.9323861416529048,18,174,56.24660085717687,2,1,3,Midwest,Pro,Mobile,0.0
2093,45.14957281901612,0.9303179787660867,24,174,42.98934795584796,1,0,5,West,Standard,Tablet,0.0
1136,78.494588577237,0.41718485541920647,25,371,,2,1,3,Northeast,Standard,Mobile,1.0
149,86.34254351254118,,19,369,119.804701660206,2,1,1,South,Standard,Mobile,
1030,70.98538594048033,0.38184176389686547,42,321,72.5398743911612,2,0,3,Midwest,Basic,Mobile,0.0
2511,79.15121240237255,0.3742251692591365,20,347,50.14834937709906,1,1,3,Mountain,Standard,,0.0
1989,74.31049945632317,0.2069130515711445,32,383,79.4169463804793,1,1,4,South,Standard,Desktop,1.0
1123,84.58257917255837,0.49037572464353607,25,223,138.4849201864431,0,1,1,South,Standard,Desktop,1.0
1817,68.38971062025435,0.19689823098985543,18,308,74.57715181590926,1,0,2,Northeast,Basic,Desktop,
2176,49.014990626933646,0.45827305370191923,28,323,41.630974777209126,2,0,1,Midwest,Standard,Mobile,0.0
2546,70.79144446548098,0.035047586541205517,14,526,61.80009257365526,3,0,3,South,Basic,Desktop,0.0
2966,49.51988665377954,0.4237472204093906,16,173,43.03264564039912,2,2,0,Midwest,Basic,Mobile,1.0
2171,64.72408569995093,0.2589716088109986,27,446,61.1576177732944,1,1,2,Northeast,Basic,Mobile,0.0
1180,68.14546481340672,0.6472908190762063,30,343,,1,0,4,Midwest,Basic,Mobile,0.0
22,65.38538124442708,0.1238042436650936,11,261,,2,0,2,South,Basic,Mobile,1.0
2041,51.91907088181208,0.514012065303177,18,342,30.526311907388692,1,0,2,Mountain,Basic,Desktop,0.0
2770,87.45023369650859,0.48160628028569114,48,455,102.79628354136045,1,0,3,Northeast,Standard,Mobile,0.0
55,42.78118584279986,0.4983606760034101,26,245,16.38121468537388,0,1,0,Midwest,Standard,Desktop,1.0
1526,39.55949726565365,0.5889847115066665,23,138,60.3194257073504,1,0,3,West,Standard,Mobile,1.0
302,61.61566058165194,0.8503811587506667,19,235,62.25671433165249,1,1,3,South,Standard,Desktop,1.0
1478,31.573338404325035,0.9773388247368251,19,121,63.12395479164864,0,0,1,Mountain,Standard,Tablet,0.0
1424,58.01181087781048,0.5696278070660382,20,269,56.21120044243969,1,1,3,Mountain,Standard,Mobile,0.0
1239,80.46099039573333,0.34079517427524253,36,352,98.33025081802187,2,0,5,South,Pro,Desktop,1.0
2581,74.67712950662695,0.6525852138604946,31,217,67.72235222603467,1,1,1,Midwest,Standard,Mobile,0.0
2580,44.607076833869435,1.055087290196519,11,94,48.537401156213356,2,1,2,Midwest,Pro,Mobile,
1051,60.67225890993658,0.36134536166844355,24,245,53.496681207226445,1,2,1,Midwest,Standard,Desktop,0.0
1566,55.18341682667508,0.6866653054315202,40,184,34.55620532740508,1,1,2,South,Pro,Mobile,0.0
2796,77.31316813164463,0.3058360032520152,15,494,,2,1,3,South,Basic,Mobile,1.0
2879,53.15434190991104,0.6684100253696822,29,210,29.027848956222023,0,0,1,Midwest,Pro,Desktop,1.0
2238,49.11462245877506,1.0181912582532684,36,324,,1,0,2,Mountain,Standard,Mobile,1.0
1475,60.85037041244868,1.0198480082336963,31,174,,1,1,4,South,Pro,Desktop,0.0
1821,49.949573681716025,,10,345,27.363591783311737,1,0,4,West,Standard,Mobile,1.0
491,71.79574720552111,0.4825302721104362,28,304,,2,0,7,Northeast,Basic,Desktop,1.0
2313,50.57754074299211,0.7769107718529944,37,235,,1,0,2,South,Pro,Desktop,1.0
2213,61.35412449109886,0.7782512724868521,18,284,49.50321724038982,1,2,5,South,Standard,Mobile,1.0
566,43.60737700229032,0.5830166240052149,23,190,,2,0,3,South,Basic,Mobile,0.0
79,83.54174933149261,0.5841371063613403,16,353,,2,1,2,South,Basic,Mobile,1.0
1854,70.17472663727881,0.35495371212480975,31,355,,0,1,1,South,Standard,Mobile,1.0
871,30.29317052503493,0.8146440405596976,16,145,44.604073176314394,1,2,2,Mountain,Standard,Desktop,1.0
