customer_id,age,annual_income_k,tenure_months,monthly_orders,avg_basket_usd,discount_share,app_sessions_per_month,website_minutes_per_month,support_tickets_6m,returns_6m,days_since_last_order,delivery_distance_km,satisfaction_score,ad_exposure_score,account_balance_points,preferred_device,region,membership_tier,primary_category
100054,54.8,61.3,23.9,8.83,67.65,0.445,14.5,67.9,1,1,4.2,17.1,4.77,49.2,2178,mobile,West,plus,groceries
100055,28.3,95.3,7.3,4.75,91.85,0.561,21.3,60.9,2,0,23.1,8.9,,60.3,2304,mobile,Midwest,basic,groceries
100056,39.7,97.7,9.3,8.14,56.32,0.294,8.1,11.6,4,1,8.5,14.2,5,55.8,1789,,Midwest,basic,groceries
100057,51.6,95.3,33.2,9.05,71.57,0.413,9.1,46,2,1,8.3,6,5,57,2094,desktop,West,basic,groceries
100058,48.5,51,32.2,4.33,22.7,0.793,19.4,47.3,1,1,17.4,7.3,4.76,43.2,961,mobile,South,plus,beauty
100059,41.7,,26.4,5.67,97.93,0.306,6.6,34.8,0,2,12.5,10.4,5,62.1,1392,tablet,West,plus,home
100060,43.9,77.7,3,9.83,64.43,0.508,6.7,32.4,0,1,3.1,18.9,4.12,40.5,2422,desktop,Midwest,basic,home
100061,34.3,82.1,39.5,7.11,44.07,0.458,9.5,38.2,1,5,4.9,6.9,,66.6,1599,desktop,Midwest,basic,home
100062,24,58.6,15.9,6.57,40.54,0.479,12.7,60,2,1,17.7,11.4,5,45.5,1847,desktop,Midwest,premium,home
100063,48.3,86,10.7,7.62,30.94,0.492,20,,3,3,15.5,13.7,5,53.8,1531,mobile,Northeast,plus,groceries
100064,33.8,65.6,14.1,3.78,80.28,0.294,18.4,,6,5,31.7,12.9,4.02,66.1,1921,mobile,Northeast,basic,beauty
100065,43.4,,22.8,4.14,29.72,0.462,16,61.1,3,0,4.2,0.4,4.76,58.7,1479,mobile,Northeast,basic,groceries
100066,40.8,,28.6,3.45,105.47,0.129,4.2,,0,0,11.7,8,4.35,41.5,2185,mobile,Midwest,plus,beauty
100067,29.1,72.2,47.1,5.3,41.73,0.57,11.5,61.2,2,1,16.7,6.5,5,44.9,1103,mobile,Northeast,basic,home
100068,39.6,118.3,45.7,4.83,128.55,0.17,6.4,101.3,0,2,14.1,14.4,5,62.4,3254,mobile,West,premium,electronics
100069,47.7,65.6,22.3,5.11,35.62,0.692,13.3,90,0,0,8.3,6.5,5,63.3,1376,tablet,South,plus,home
100070,47.2,,31.6,4.9,27.54,0.549,10.8,66.9,0,1,0.3,5.7,5,52.1,1411,tablet,Midwest,basic,groceries
100071,41,67.7,16.3,5.3,54.58,0.592,20.6,106.5,1,0,11.4,4.8,3.99,61,1153,,South,basic,home
100072,30.7,89.1,20.1,4.39,82.29,0.388,24,137.5,2,2,22.9,4,4.86,58.7,1680,desktop,West,basic,electronics
100073,45.5,71.7,41.6,11.34,52.92,0.733,10.8,57.6,1,2,0,0.2,5,45.2,2430,mobile,Northeast,plus,groceries
100074,45.1,126.9,39.8,5.59,69.91,0.054,8.5,35.8,0,2,21,14.6,5,36.4,2296,,West,premium,beauty
100075,37.5,,7.5,6.15,38.39,0.428,9.5,46.6,0,2,0,8,5,42,1924,desktop,South,basic,home
100076,39.7,97.2,29.3,4.69,83.67,0.177,7.4,124.7,2,2,35.4,4.5,5,65.2,2144,desktop,Northeast,basic,
100077,36.5,,29,4.51,44.42,0.767,17.3,59.5,2,1,12.3,9.5,3.99,48.4,1219,desktop,West,plus,beauty
100078,31.5,87.4,9.7,4.02,89.36,0.253,12,121.2,3,4,41.9,1.5,5,44.5,1577,mobile,West,plus,groceries
100079,20.1,,3.7,7.19,33.5,0.346,13.3,,5,3,30.6,9.2,5,48.9,1443,mobile,South,plus,electronics
100080,42.9,81.7,17,8.32,49.87,0.356,5.4,39,3,4,14.6,15.2,5,25.7,1626,desktop,Midwest,plus,electronics
100081,29.7,112.1,20.2,3.7,90.53,0.233,25.1,117.1,1,2,10.4,5.2,4.62,64.5,2175,mobile,Midwest,basic,electronics
100082,55.6,,25.4,8.79,57.4,0.525,8.3,40.8,1,1,5.4,12.4,5,57.1,1982,desktop,South,plus,home
100083,30.7,95.2,31.1,2.86,117.98,0.113,12.5,82.4,2,2,6.3,13.8,5,55.5,2723,mobile,Northeast,plus,beauty
100084,37.8,98.5,34.3,7.1,83.59,0.222,9.1,67.1,3,3,28.6,15.9,5,62.4,2371,mobile,Midwest,plus,home
100085,41.6,74.7,28.5,6.82,51.56,0.363,7.7,26.1,2,0,3.8,14.5,5,47.6,1607,mobile,Northeast,plus,groceries
100086,37.7,33.1,6.2,9.68,66.9,0.624,14.2,,3,1,9,5.9,5,49.8,1655,,Midwest,plus,groceries
100087,43.7,90.9,17.1,6.89,74.34,0.405,12.5,62.7,2,2,6.7,12.1,5,55.5,2472,mobile,Midwest,plus,beauty
100088,32.8,108.1,21.4,2.59,83.54,0.168,1.2,,3,1,4.5,7.4,4.6,53.5,1846,mobile,West,basic,beauty
100089,35.2,94.4,34.4,4.71,55.21,0.598,13.8,67.9,2,6,12.4,10.8,4.84,49.6,1642,desktop,Midwest,basic,home
100090,18,53.9,10.5,4.06,40.86,0.572,13.7,28.8,1,0,6.3,1.8,5,56.8,1974,desktop,South,basic,groceries
100091,28.6,19.2,21.3,4.08,18.33,0.612,11.1,60.9,1,2,2.3,8.2,4.64,57.3,824,mobile,West,basic,electronics
100092,32.5,90.9,22.4,6.28,38.11,0.52,6.3,35.5,1,2,10.4,9.3,5,38.6,1365,desktop,South,basic,groceries
100093,31.6,58.4,22,8.76,34.38,0.725,11.8,48.2,4,1,16.4,2.8,5,54.6,1828,mobile,West,basic,home
100094,45.4,85.4,41.8,8.5,81.67,0.322,15.8,12.4,4,0,0,7.6,5,60.6,2557,mobile,West,premium,groceries
100095,54.4,89.6,28.7,8.91,77.48,0.34,1.1,48.1,5,3,0,13,5,57,2696,desktop,South,plus,electronics
100096,47.2,71.7,28.9,7.84,69.71,0.418,6.8,63,1,2,20.7,17.5,5,53.5,2209,desktop,Northeast,plus,groceries
100097,41.3,78.9,25.3,10.48,29.09,0.491,8.2,27.1,2,3,14.8,6,,49.8,1706,mobile,Midwest,basic,groceries
100098,39.5,111.1,24.7,4.21,95.27,0.255,4.3,52.2,1,1,4.2,15.5,5,45,2298,mobile,Northeast,premium,home
100099,23.1,46.7,33.3,0.54,65.91,0.266,22.8,75.6,1,3,22.1,8.9,4.8,65,1541,mobile,West,plus,beauty
100100,37,91.4,35,7.52,78.27,0.379,14.9,24.9,4,1,18.1,17.2,4.99,66.5,1787,mobile,South,basic,home
100101,33.4,45.2,9.7,1.98,62.94,0.42,5.3,119.6,2,6,6.3,10.4,,61.6,1586,mobile,South,basic,groceries
100102,43.3,99.5,37.7,4.04,53.81,0.498,9.2,49.5,1,0,9.8,6.7,5,45.9,1651,tablet,West,basic,groceries
100103,43.6,53.1,35.5,8.68,45.25,0.3,6.6,53.9,2,1,6.9,5.2,5,49.3,1862,desktop,South,premium,groceries
100104,26.9,48,27.7,7.14,25.98,0.402,14.6,58.7,0,2,24.1,6.8,5,66.1,1307,mobile,West,premium,groceries
100105,33,124.2,37.6,4.02,131.93,0.179,6.4,16.8,1,3,12.3,13.1,4.73,48.3,2921,,Midwest,plus,home
100106,23.2,68.9,29.4,4.26,39.11,0.367,7.4,73.3,2,0,30.7,9.1,4.97,65.6,1633,tablet,South,basic,groceries
100107,36.7,64.1,11,7.62,30.24,0.654,4.2,34.1,1,1,17.3,1.5,5,44.4,1329,mobile,Northeast,plus,groceries
100108,44,,9.8,12.38,50.8,0.483,10.5,31.8,0,2,8,18.7,4.42,54.5,2317,mobile,Midwest,basic,groceries
100109,43.9,54.2,4,6.22,38.49,0.684,9.4,64.5,2,1,0,2.3,5,57.7,1972,mobile,South,premium,groceries
100110,40.1,85.9,49,7.2,28.11,0.323,2,63.7,2,1,19.1,15.1,5,49.7,1205,desktop,South,plus,groceries
100111,40.1,53,30.7,8.43,59.58,0.395,9.7,61.1,0,1,6.6,11.7,5,34.2,2081,desktop,Midwest,basic,home
100112,32.1,79.5,27.3,8.04,38.72,0.766,16.8,75.7,2,1,4.7,8,5,63.9,1387,mobile,South,basic,electronics
100113,46.5,146,39,4.51,143.74,0.198,6.1,41.3,3,2,36.5,19.9,3.95,52.2,2910,desktop,South,premium,electronics
100114,25.5,58.6,25.8,5.66,31.28,0.666,9.2,54.5,5,3,11.8,7.1,4.84,48.5,972,mobile,Midwest,plus,home
100115,48,100.7,23,7.25,116.74,0.26,4.9,,1,0,5.4,11.2,5,58.1,3151,mobile,Northeast,premium,groceries
100116,36.2,85.4,26.6,11.12,64.06,0.44,11.6,32.3,3,0,5.7,15.2,5,55.7,1903,tablet,South,plus,groceries
100117,50.1,60.4,25,4.29,42.03,0.679,10,73.9,2,4,21.4,7.7,4.56,70.5,1453,,South,basic,electronics
100118,23.8,49.8,17.3,7.84,26.81,0.541,14.9,32.4,3,2,7.8,11.9,5,47.5,1448,mobile,South,basic,home
100119,35.9,80.2,24.5,7.71,56.8,0.292,10.3,34.8,3,3,17.3,14.3,5,50.8,1909,tablet,Midwest,basic,groceries
100120,23.9,90.9,28,8.09,63.99,0.478,9.8,49.5,1,1,12.6,10.9,5,65.9,1999,desktop,Northeast,plus,home
100121,34.4,46.5,2.5,2.58,19.19,0.684,7.8,39.9,3,0,22.3,4.5,4.34,56,991,mobile,South,plus,home
100122,24.1,103.1,14,2.79,96,0.164,19.6,101.1,2,0,24.3,3.2,4.39,48.3,2447,mobile,Northeast,basic,groceries
100123,43.4,53.2,23.3,1.93,36.44,0.812,12,65.6,2,0,16.7,7.4,4.31,41.2,1071,desktop,Midwest,plus,beauty
100124,41.2,112.8,32.6,4.89,148.04,0.232,6.6,81.1,0,1,0.9,14.9,5,50.2,3415,mobile,South,premium,groceries
100125,46.7,117.1,13.9,2.62,109.51,0.038,5.9,23.7,0,0,15.4,6.9,5,52.9,2874,mobile,Midwest,premium,groceries
100126,40.2,46.5,35.9,6.64,72.84,0.64,9.6,53,0,1,14.1,4.3,5,52.9,1720,mobile,Midwest,basic,groceries
100127,53.6,93.3,63.1,4.97,86.8,0.211,8.5,71.2,1,4,12,8.5,5,65.3,2485,mobile,Midwest,premium,electronics
100128,35.1,81.8,29.5,5.54,29.9,0.684,6,94.4,0,0,5.4,4.4,5,74.3,1581,desktop,South,premium,home
100129,54.9,78.6,11.4,4.72,38.36,0.541,5.6,38.1,0,2,5.6,13.4,5,54.3,944,desktop,South,basic,groceries
100130,38.8,28.5,17.1,3.55,20.74,0.725,11.6,85.5,0,1,9.7,5.6,4.23,55.7,943,desktop,Northeast,plus,home
100131,41,89,3.5,5.54,84.14,0.112,20.4,,5,2,7.1,9.8,5,67.2,2991,mobile,West,premium,electronics
100132,52.8,86.8,52.3,4.81,104.53,0.18,8.7,103.5,4,3,4.9,15.6,4.7,52.2,2760,,West,premium,electronics
100133,29.6,77.7,27.3,5.57,46.21,0.564,20.1,56.7,2,1,23.7,9.7,,59.1,1413,mobile,West,basic,groceries
100134,25.9,99,21.4,4.9,62.76,0.089,15.4,110.9,1,4,19.9,6.5,5,65.5,1616,mobile,Northeast,basic,beauty
100135,40.7,74.7,28.4,7.91,66.05,0.373,14,,4,1,5,10.9,5,56.3,2022,mobile,South,plus,home
100136,45.5,74.2,40.7,6.53,42.48,0.722,11.8,,1,0,1.3,4.1,5,42.9,1156,mobile,Midwest,basic,groceries
100137,54.1,89.2,33.2,9.08,61.35,0.332,3.7,40.4,1,3,11.1,14.9,5,47.3,2294,desktop,Midwest,plus,groceries
100138,21.5,83.3,18.7,0.34,98.23,0.456,11.5,114.1,2,0,19.6,9.3,4.58,55.1,1807,mobile,West,premium,home
100139,33.6,55.8,13.5,9.39,59.79,0.451,3.8,60.8,4,5,0,12.7,5,36.8,1894,mobile,South,basic,electronics
100140,42.1,81.8,42.9,7.18,59.47,0.321,9.7,55.8,2,2,16.4,13.9,5,66.7,1401,mobile,Midwest,plus,home
100141,40.5,46.7,11.5,6.41,28.24,0.402,9.1,32.5,4,4,8.3,10.3,5,37.2,1699,desktop,Midwest,basic,groceries
100142,43.6,92.2,8.2,6.77,32.58,0.459,11.8,57.5,0,1,3.1,8.3,5,52.5,1194,tablet,West,basic,home
100143,42.1,78.4,21.7,2.02,84.5,0.206,4.9,89.1,3,1,25,14,3.43,60.2,1645,tablet,Northeast,plus,home
100144,28.6,79.2,32.9,5.19,35.84,0.504,13.6,23.4,2,2,8.6,8.9,5,57.1,944,mobile,West,plus,
100145,41.5,36.3,1,5.31,46.6,0.487,11.3,52.2,0,1,9.6,11.7,5,61,1333,mobile,Midwest,plus,groceries
100146,34.7,121.9,8.7,4.42,102.51,0.03,10.3,90.2,2,5,17.6,8.5,5,68.1,2723,desktop,West,plus,groceries
100147,44.7,73.2,13.2,8.77,67.36,0.388,12,37.5,4,3,12.1,7.3,5,41,2490,desktop,Northeast,plus,electronics
100148,32.4,115.8,29.6,1.57,108.7,0.258,11.3,67.2,1,1,7.1,9.4,3.93,60.3,2533,mobile,South,plus,electronics
100149,18,26.9,22.6,5.91,99.31,0.341,6,42,0,1,18.9,14.6,5,47.2,1073,tablet,West,premium,groceries
100150,45.6,125.5,12,6.11,97.27,0.275,7.2,,1,1,17.7,9.3,5,59.5,2529,mobile,Midwest,premium,groceries
100151,18,84.3,32.2,6.08,28.47,0.268,11.5,77.4,2,1,9.1,15.8,5,60,1311,mobile,Midwest,basic,groceries
100152,39.1,,26.4,6.4,46.48,0.596,13,67,2,1,18.6,18.8,3.63,50.6,2041,desktop,Midwest,plus,home
100153,26.7,63.6,34.6,2.32,116.33,0.062,0.6,36,2,1,15.4,11.7,5,57.3,2715,mobile,West,premium,groceries
100154,51.7,96.4,25.6,4.13,24.89,0.558,6.8,95.2,1,0,9,8.6,5,60.8,848,desktop,West,plus,groceries
100155,43.2,106.5,43.1,6.79,126.13,0.369,5.4,74.4,2,4,13.7,14.3,4.96,56.8,3327,tablet,South,premium,electronics
100156,27.8,92.6,5.2,5.42,68.02,0.242,17.7,80.5,1,1,20.5,13.8,4.67,42,1899,mobile,South,basic,beauty
100157,41,127.1,25.7,5.7,102.03,0.081,6.3,53.4,2,0,8.4,5.3,5,44.7,1866,mobile,Northeast,basic,groceries
100158,34.8,109.6,5.6,3.98,74.22,0.342,31.6,95.5,2,1,0,9.5,5,70.5,1774,mobile,West,plus,
100159,34.1,135,28,5.54,90.46,0.371,9.9,56,0,2,15.9,15.3,5,47.3,2154,mobile,West,basic,groceries
100160,40.9,101.1,49.9,6.15,87.47,0.045,6.3,93.5,0,1,9.2,2.7,5,43.8,2118,mobile,West,plus,beauty
100161,42,95.1,18.3,6.57,32.94,0.572,13.1,57,1,1,7.3,8.8,5,68.3,1613,mobile,South,plus,beauty
100162,44.5,91.2,30.5,5.25,83.73,0.177,8.2,77.6,1,0,11.9,8.6,5,57.1,2809,mobile,Midwest,premium,home
100163,40.5,56.6,34.7,7.44,14.38,0.594,12.7,49.5,0,0,11.7,5.6,5,47.3,1339,tablet,Midwest,basic,beauty
100164,49,64.5,17.3,6.57,31.37,0.581,12.4,23.2,0,1,21.3,16.5,4.93,58.6,1450,desktop,West,basic,beauty
100165,54.7,94.1,16.1,4.93,76.75,0.216,0.1,30.6,2,0,12.4,8.4,5,49.1,1910,mobile,West,plus,home
100166,37.3,84.6,15.2,4.26,40.06,0.592,3.1,56.1,2,0,12.4,3.9,5,41.9,1221,desktop,South,plus,groceries
100167,44.5,65,12.5,3,57.67,0.298,18.5,119.6,3,3,16.7,9.1,3.82,50.4,1266,,Northeast,basic,groceries
100168,34.1,107.4,1,4.9,86.1,0.466,19.2,,2,2,49.9,12.4,5,59.4,2106,tablet,South,basic,groceries
100169,43.5,46.6,28.6,4.86,27.15,0.523,16.7,,1,0,6.7,13.7,4.73,56.8,1120,tablet,Midwest,basic,groceries
100170,24.4,92.2,8.4,2.98,85.66,0.051,26.7,84,5,2,26.5,18.2,4.52,61,1955,desktop,West,plus,groceries
100171,28,42.7,10.9,7.32,29.77,0.548,9.1,67.1,1,1,25.5,11.6,5,61.9,1589,mobile,South,basic,groceries
100172,29.1,50.2,32.8,5.08,51.84,0.777,8,81.4,1,1,5.9,6.5,4.58,55,1412,desktop,West,basic,home
100173,39.4,78.8,1,9.55,58.2,0.462,13.5,46.8,6,2,16,6.1,5,54.2,2252,mobile,Midwest,premium,groceries
100174,35.3,56.2,24.1,5.17,24.15,0.373,6.5,56,1,0,0,5.1,5,54.9,1497,mobile,West,basic,beauty
100175,37.6,66,30.6,2.48,32.04,0.723,17.7,47.8,3,3,7.1,10.1,4.36,55.4,1455,,West,basic,groceries
100176,48.3,87.1,22,3.34,98.05,0.143,4.7,38.5,1,1,32.9,12.3,5,55.3,1920,mobile,Midwest,plus,home
100177,43.6,52.1,42.6,7.92,73.06,0.385,10.2,57.7,2,2,14.5,7,5,48.5,1987,desktop,South,plus,electronics
100178,37.4,76.7,22.2,3.15,91,0.346,16.2,30.9,3,5,40.3,13.3,3.38,45.8,1947,desktop,Northeast,basic,groceries
100179,42.1,109.7,17.5,11.27,54.25,0.555,14.4,32.7,1,1,0,11.4,,41.3,1729,mobile,South,plus,electronics
100180,39.1,69.7,23.9,8.01,65.03,0.303,9.6,48.5,1,2,12.3,7.5,5,74.1,2239,tablet,West,premium,beauty
100181,37.4,43.4,34.6,4.96,34.78,0.792,14.1,17.6,1,2,0,9.6,5,48.3,1266,mobile,Northeast,basic,groceries
100182,37.7,74.5,19,5.22,21.8,0.736,10,63.1,2,1,19.5,8,4.7,54.1,1270,desktop,South,plus,groceries
100183,44.7,,13.4,6.31,70.06,0.34,12.1,34.8,0,1,0,5.1,5,39.6,1875,desktop,Midwest,plus,beauty
100184,27.6,,2.1,4.02,79.7,0.275,13.6,104.6,3,5,26.5,6.7,5,61.6,2302,mobile,West,premium,groceries
100185,36,101.7,21.5,2.14,112.11,0.292,22.9,131,0,1,13,10.2,5,49.8,2346,desktop,West,plus,beauty
100186,33.1,128.2,27.2,6.1,110.46,0.077,3.2,63.1,1,1,5.3,9.1,5,54.7,2649,tablet,Northeast,plus,groceries
100187,53.7,101.8,9.5,6.77,83.66,0.275,18.4,,2,2,21.2,9.6,5,62,2320,mobile,Northeast,basic,beauty
100188,25.1,75.1,14.2,4.74,88.14,0.149,32.9,96.8,5,4,14.8,9.2,,75,2237,mobile,Northeast,basic,groceries
100189,34.7,58.1,21.7,5.4,27.05,0.686,8.9,53.9,0,2,17.6,7.2,4.6,57.3,1099,tablet,South,plus,groceries
100190,22.4,69.3,27.9,6.61,25.08,0.472,11.6,60.3,0,0,4.7,3.8,5,51.2,1394,mobile,Northeast,basic,home
100191,46.7,95.3,41.8,3.99,90.8,0.028,1.7,30.8,1,1,16,12.8,5,50.7,1627,desktop,West,basic,home
100192,23,70.3,17.6,2.81,39.01,0.238,17.8,98.3,3,6,8.1,10.5,4.66,64.5,1343,mobile,Northeast,premium,groceries
100193,22.7,92.2,13.4,6.39,103.42,0.584,18.7,78.9,1,1,6.8,9.9,5,56,2459,mobile,Midwest,basic,groceries
100194,39.4,67.8,20.5,6.96,35.63,0.605,14.8,68.5,1,0,13,6.6,5,47.9,1597,desktop,South,plus,beauty
100195,42.5,77.4,45.8,7.52,24.59,0.5,0.5,30.4,3,1,3.8,5.7,5,39.6,1265,mobile,Midwest,plus,electronics
100196,42.9,74.7,33.4,3.24,41.86,0.332,21.5,,0,2,23.6,7.9,,57.2,2647,mobile,West,basic,home
100197,34,,12.1,6.21,37.78,0.465,15.8,105.8,2,5,42,7.4,4.28,43.1,1079,desktop,Midwest,basic,
100198,27,129.2,13.4,2.4,150.11,0.223,0.7,68.5,1,1,14.2,16.4,4.9,51.8,3104,desktop,Northeast,premium,electronics
100199,45.8,64.4,14.8,4.8,29.4,0.587,9.3,47.7,0,0,15.5,12,4.18,51.8,990,desktop,Midwest,plus,home
100200,35.4,,5.2,3.67,59.61,0.342,15.9,68.1,2,2,53,6.9,4.26,56.6,1740,mobile,South,basic,groceries
100201,53.4,,11.7,5.34,17.54,0.544,10.2,77.8,1,1,11.7,7.8,4.84,58.6,1508,desktop,Northeast,basic,groceries
100202,37.7,101.2,6.8,6.82,33.52,0.368,14.7,72.6,3,3,32.2,4.7,5,54.5,1481,mobile,Midwest,premium,groceries
