risk_signal,process_temp,pressure_variation,vibration_index,operator_experience,humidity,shift_load,raw_material_score,sensor_drift,maintenance_gap_days,ambient_temp,weak_proxy,random_id_hash,machine_type,supplier_tier,shift,region,target
-1.2253,0.2879,0.4869,-0.4988,3.5958,69.83,-0.0577,-0.7662,-1.3978,11.04,76.73,-0.322,6272,D,economy,day,south,0
0.0267,-0.0066,,-0.0632,0.4891,40.3,0.5942,-1.856,-2.6937,14.33,53.33,-0.67,8104,A,economy,night,west,1
0.342,0.6933,-1.3521,0.9961,0.2638,33.06,-1.0701,0.7157,-1.6185,6.39,77.49,-0.0532,2150,D,standard,day,east,0
-0.6758,,-1.1706,0.6312,1.8871,43.05,-0.5597,-0.9269,1.1849,17.23,75.33,-1.2998,4791,C,standard,day,west,1
0.5606,,-0.3929,-0.6594,4.2711,72.71,0.7797,0.6532,0.2738,32.0,57.4,-0.3444,1511,A,standard,night,east,0
-1.5168,0.7054,0.7786,1.6328,1.8222,50.92,-0.0225,0.3562,,19.37,63.16,1.0233,6818,B,standard,swing,north,0
0.4565,-0.6762,-1.0683,-0.2775,1.9357,5.23,0.6014,0.3059,1.3087,31.11,71.26,1.2179,4879,D,economy,day,south,0
-0.1639,-1.9921,-0.8433,1.4293,7.6216,94.27,2.2793,-0.9589,1.2732,12.06,58.3,1.12,7264,A,,night,south,1
-0.763,-1.6674,-0.3285,-2.0425,7.0618,46.93,-0.4228,1.372,-0.6039,47.51,76.44,-1.4477,5269,A,premium,day,west,0
0.3496,-0.3736,1.3603,-1.1665,2.1024,69.52,-2.5211,0.4376,-0.5473,37.63,73.32,-0.4216,9565,B,standard,day,west,0
0.5307,2.1389,-0.0343,-1.6414,7.3264,35.79,1.1358,-0.1633,0.7888,15.16,70.06,-0.1968,2941,D,premium,swing,east,0
0.845,-0.377,-0.0688,1.0623,4.3996,46.12,1.0232,0.4527,-0.4025,13.95,70.02,0.8495,7944,B,standard,night,east,1
-1.5204,-0.9429,1.0498,-0.865,8.1649,75.93,-0.6085,-0.7578,-2.269,41.06,76.09,-0.4203,2430,C,standard,night,east,0
-0.2333,-1.7114,-1.1997,-1.0729,3.5995,53.62,-1.5268,-0.5848,0.1031,43.53,64.94,0.9764,1269,D,premium,swing,south,0
-0.8637,-0.8542,,1.3611,6.6761,12.01,-1.3946,0.943,-1.2063,11.74,86.38,0.3613,5794,B,standard,day,south,0
-0.7786,0.2565,1.2378,-1.7641,6.6198,,2.1561,1.2478,0.409,21.58,78.74,-1.9526,8191,D,,night,north,0
2.2207,-1.4919,0.0272,-1.6093,9.3039,43.25,-1.6075,-0.9257,-0.1617,6.18,65.32,0.3974,4534,D,economy,swing,east,1
0.6129,0.6494,-1.656,0.2009,7.247,46.75,-0.9735,0.4047,-0.1248,2.53,70.97,-0.5389,2612,D,standard,swing,west,0
0.7452,2.204,-0.8285,-1.4417,7.2255,74.68,1.4405,-0.6866,0.4142,1.42,83.09,0.0913,9193,B,premium,swing,west,1
0.5969,-1.3332,-0.3704,0.0268,1.6525,25.9,-0.5474,-1.2923,-0.2802,16.12,72.96,0.6816,2179,A,premium,day,north,1
-1.7121,-0.3744,1.1223,-1.0511,0.1412,25.62,0.7806,0.066,-1.4611,26.61,76.24,-0.3752,8187,B,premium,night,south,0
-0.9617,-1.9805,-1.2807,2.1079,4.4693,13.99,-1.5426,0.0554,-1.5113,17.59,57.86,0.2227,5204,A,premium,swing,north,1
1.1827,0.9742,-1.6231,-0.2973,3.4671,86.86,1.2803,1.5427,-0.8021,6.67,67.64,0.2133,1598,A,standard,night,north,0
-1.2945,0.3524,-0.5763,1.1689,5.7189,39.13,-0.6424,0.6802,0.5903,5.32,59.2,-0.081,8033,C,standard,day,west,0
-2.1723,-0.659,,1.163,6.5091,73.02,0.7447,1.2276,-1.777,36.95,81.24,-0.8806,3106,B,premium,swing,south,1
0.3939,-1.5344,0.8326,0.0749,8.8696,,-1.4896,0.3515,-1.6243,12.86,71.81,-0.8585,7652,B,standard,night,north,0
0.6271,-0.1724,-0.0401,-2.3768,9.1243,,-0.735,-0.4292,0.3569,31.93,90.59,2.5339,3606,A,premium,swing,,1
-1.1291,-0.0025,1.2455,-0.5629,5.606,28.7,0.7081,-0.3798,1.1786,48.19,57.41,-0.7062,9046,D,standard,night,south,1
1.6921,,1.296,0.097,4.1627,48.42,1.0077,1.3616,0.3299,17.7,62.88,-0.1698,3583,A,standard,day,east,1
-0.1626,,0.5048,-0.5155,1.331,66.93,-2.4237,1.7025,-1.3954,6.49,54.86,0.3017,9636,B,economy,night,south,0
-0.2538,-1.8544,-1.0918,-1.1273,1.9663,61.49,2.038,-0.96,-1.2153,21.48,80.62,0.3694,9045,D,standard,day,north,1
0.0116,-1.9047,-0.2424,0.5528,3.6021,46.71,-1.1494,-1.6965,-1.6202,47.5,72.92,-0.4152,8728,D,premium,swing,east,0
-0.2872,0.6185,0.1111,-0.5301,9.6332,5.65,-1.5554,-0.7427,-1.6195,37.87,57.69,-0.5444,8356,A,standard,swing,north,0
1.4373,-0.8614,2.0109,-0.4893,0.4078,34.41,-0.3184,0.878,1.7604,6.64,80.74,2.4269,3983,B,standard,day,south,1
-0.6655,-1.2036,-0.5318,0.6385,8.8342,70.28,0.5147,-1.518,-0.0462,6.29,73.63,0.2334,1189,A,standard,day,,0
-0.474,-0.0071,1.4915,0.1854,7.8159,32.58,1.0429,-0.1238,-0.2094,20.66,69.06,-0.3307,2105,A,,swing,south,0
0.2848,0.401,-0.6659,0.1371,5.3329,74.1,1.4475,0.0053,-1.728,27.85,48.18,-1.2946,8664,B,economy,night,north,0
1.0686,1.0707,2.2328,-0.2622,5.9964,32.39,-2.006,-0.2875,-0.0231,8.96,86.34,-0.5424,2059,C,premium,day,east,0
-0.7045,-0.2225,-1.3314,-0.7307,6.0998,29.5,0.4754,1.8089,,41.89,68.75,-1.0996,6713,D,premium,night,north,0
0.5585,0.0936,0.4912,-0.7568,2.0003,13.72,-0.09,-0.3442,-0.6041,40.33,72.74,-0.6457,2963,C,premium,day,south,0
0.9629,1.0325,-0.271,1.4887,1.0519,53.94,0.3318,-2.4106,0.6893,11.94,73.92,-0.6537,7469,A,economy,swing,south,1
0.0268,,-0.5428,-1.0683,2.5371,73.79,-0.4362,0.3003,-1.7054,13.57,70.18,2.2435,8781,B,standard,swing,north,0
1.4059,0.8882,-0.1864,0.461,4.8126,,0.188,-0.5129,,41.79,56.85,0.7788,3665,C,standard,night,south,1
0.0231,0.2697,0.1946,0.354,5.3065,61.34,1.0166,0.9777,0.6831,20.43,46.64,-0.4906,5997,B,standard,night,north,1
-2.3698,-0.1255,1.0143,0.0395,4.7336,,-1.0354,-0.4408,-0.7505,3.13,65.32,-2.0371,9713,C,standard,day,north,0
0.1786,-1.7082,,-1.0365,3.8152,36.03,-0.0982,0.2268,-0.0382,14.34,75.02,0.0091,7143,A,standard,day,north,0
-1.9862,0.1813,0.9457,-0.4397,2.6622,64.7,0.0085,-0.1574,0.1882,32.13,67.48,0.0631,1395,D,premium,swing,south,0
1.7014,-0.3321,2.3728,0.3012,6.1673,78.27,1.1057,0.6746,0.1532,2.53,36.27,-0.5462,7992,C,standard,night,south,1
1.199,3.3722,0.4542,-0.2916,8.7741,55.55,-1.1284,-0.6369,-0.9175,37.1,63.2,-1.7518,5241,B,standard,night,west,0
-0.1751,0.7022,1.863,0.831,8.2135,58.0,0.6166,-0.7527,-1.3911,40.89,73.64,-0.3729,5144,D,economy,night,north,1
-0.2377,-2.0419,0.5718,1.1083,7.0919,37.69,0.5853,0.8049,1.5423,38.89,72.98,0.6074,4421,B,standard,swing,east,0
1.3552,0.9395,-0.7204,0.8252,0.6184,,0.2346,-0.9719,0.0792,7.92,47.64,-1.1864,9269,A,standard,day,east,0
0.7915,1.3599,0.6863,0.1946,5.6103,71.17,-0.4397,-0.693,0.6906,10.58,71.46,1.0219,4278,D,standard,swing,east,0
-0.2667,,,-0.3383,6.5774,32.94,-0.8813,0.8705,-1.6433,20.39,85.27,-1.8065,2546,D,standard,day,east,0
0.0999,0.3926,-0.0965,-0.1565,2.0416,86.71,-2.2822,1.2786,0.747,11.54,68.58,0.7552,3346,C,standard,night,,1
0.5066,0.9883,-0.1764,1.4323,7.7026,28.61,1.7504,0.775,0.5732,10.56,70.09,-0.6444,8923,D,premium,day,west,0
-2.3473,0.7421,-0.6819,1.9466,2.1054,49.64,0.4813,-1.038,1.9596,18.83,55.67,1.0579,3522,A,economy,day,east,1
0.496,-0.0464,-0.6855,0.8199,8.391,89.14,-1.3234,-0.1892,-1.6981,20.89,62.98,-1.5957,6135,D,standard,night,,0
-0.5723,-2.1488,-0.5511,1.6031,2.0766,42.44,0.8881,1.2604,-0.5784,18.53,58.39,0.2781,6240,A,standard,swing,south,1
-1.756,-2.7002,-0.7873,1.3139,8.8373,26.33,0.019,-0.4096,0.4959,19.61,80.9,-0.3439,7172,B,standard,night,west,1
-0.0443,-1.447,0.5691,-0.2439,2.9644,16.47,-0.3855,1.1674,-1.137,4.5,74.34,1.0772,9312,A,premium,day,north,0
-0.2316,-1.3639,1.5821,0.1238,8.2548,25.67,0.8368,0.1283,1.7758,6.58,62.63,-1.356,7894,A,economy,day,west,1
-1.7773,-0.0165,-0.5909,-0.8668,5.83,25.58,0.4151,-1.1339,-2.3133,6.78,78.37,-0.9472,6170,B,economy,day,south,0
0.4198,-0.1473,0.848,0.3739,5.4259,58.46,-0.3373,1.252,-1.9737,15.68,61.29,0.3314,7745,C,standard,day,south,0
0.5688,-1.4094,0.0079,1.002,3.867,56.64,-0.2083,-0.3407,-2.487,6.79,67.58,-0.0872,7346,B,standard,swing,south,0
0.6067,1.9122,0.9864,0.1858,,94.09,0.0208,-0.3747,0.5568,20.91,76.05,0.3469,4077,A,premium,night,south,1
2.3626,-0.6948,-0.0256,2.184,1.2801,85.98,-0.9019,-1.502,2.3524,25.28,65.35,0.2249,8956,A,standard,night,north,1
2.2162,1.1294,-0.2729,0.4405,4.4374,78.41,-0.6659,1.0221,1.1623,31.19,80.17,-0.0724,7059,C,standard,swing,south,0
1.183,,-0.1953,1.3813,,70.44,0.2577,-0.5175,,19.18,56.94,0.2472,5614,D,standard,day,south,1
-0.0983,0.3871,-0.4357,-0.8862,6.203,75.44,0.356,0.5858,-0.6493,35.89,50.12,-1.3743,8620,B,premium,swing,north,0
1.0901,0.541,-0.4181,-2.0087,4.8671,,-0.7835,-1.1144,0.523,6.51,58.66,0.479,6659,B,standard,night,north,0
0.1874,0.69,-0.0054,-0.4004,6.2157,60.43,-0.0993,2.1999,-0.3314,3.36,79.18,0.5797,4596,C,,night,east,0
-0.4875,1.063,-0.4148,-0.0239,4.0934,55.46,-1.4345,-0.9604,,7.96,82.62,0.1205,5385,D,standard,swing,south,0
0.5595,-0.374,-0.373,-1.1102,8.1402,69.0,2.0758,-0.4458,-0.8127,27.07,58.06,1.4266,5686,B,standard,swing,west,1
1.5464,-0.272,-1.3224,1.2984,3.1922,6.71,1.3052,-0.1891,0.9085,28.69,80.46,-0.485,7722,D,premium,night,south,1
2.1287,-0.2859,-1.0418,0.6028,5.3033,33.81,-0.8815,-0.1459,0.0966,18.72,62.6,0.7363,3906,C,premium,day,west,1
-0.6927,-1.8116,0.0448,0.8022,0.5562,78.37,-1.8074,-1.534,1.7153,4.66,57.2,2.173,8289,A,economy,swing,west,0
0.664,0.5272,0.4705,-1.8605,9.1289,70.64,-0.3174,1.211,0.7274,38.88,76.34,-0.1565,7863,A,standard,swing,south,1
1.1601,-1.2031,,-0.3992,1.4586,39.42,-1.5696,-0.375,-0.0673,27.03,68.53,-1.0934,8940,B,standard,swing,south,0
-0.3223,-0.1556,-0.7134,-0.8228,1.2423,47.87,0.041,-0.0681,-2.3808,42.24,69.12,-2.0615,9387,A,premium,swing,west,0
-0.5304,-1.4421,-1.0878,0.5197,7.6022,59.43,0.6498,0.4422,-1.3395,11.72,62.77,0.6698,3367,C,economy,swing,west,0
-1.725,0.1301,0.2212,0.9573,,63.51,-0.5907,-0.9553,-0.2595,7.24,78.91,0.1318,8056,C,economy,day,north,1
-0.8145,0.3059,0.5505,0.8571,8.4585,81.46,-0.4275,0.5169,-0.348,14.56,54.36,0.7368,8508,C,standard,swing,north,0
1.1328,1.25,-0.5512,-0.4571,7.326,22.05,1.1339,-1.0533,,17.95,80.03,-0.1667,8104,B,standard,day,west,0
-0.0533,0.2362,,-1.9284,6.2156,40.12,-0.2496,-0.1695,-1.5992,37.91,72.55,0.295,1826,A,economy,night,south,0
-0.4793,1.4733,-1.318,-0.2979,3.6879,86.99,-1.2815,-0.6623,-0.4233,19.63,68.58,0.4883,5117,B,standard,day,south,0
-0.6759,-2.5283,-1.8429,-1.8303,8.3578,41.34,-0.8571,-0.3807,-0.1462,10.82,67.17,0.0371,9913,C,,swing,south,0
-0.5225,-0.4076,1.6673,0.3339,7.1979,92.24,-0.4826,0.839,-1.0785,25.22,60.27,-0.7219,3187,B,standard,swing,north,0
0.3265,0.8197,-0.8775,1.6382,9.4649,16.24,0.5593,2.6144,1.0694,12.85,77.16,1.0751,4918,D,premium,night,east,0
-0.6927,-1.1584,0.479,0.7569,1.3383,2.45,-0.0464,0.6144,0.2662,8.96,61.29,-1.7121,4904,B,standard,swing,west,1
-1.9617,-1.8327,-0.5947,1.4151,2.8619,57.65,-1.4696,-0.1062,-1.1097,9.4,66.19,-1.2803,2173,C,economy,night,north,0
-0.9978,0.1917,1.425,0.6625,8.6595,62.17,1.1048,1.0022,-1.0586,11.95,47.49,-1.5164,9842,B,,swing,east,0
0.7148,-0.7089,1.5029,1.0318,9.1758,85.49,-0.0431,0.7249,-0.3955,22.93,51.96,0.5581,4038,B,standard,swing,west,0
0.0442,-1.2707,1.4369,0.7915,5.6112,18.51,-0.4714,-0.2124,0.3541,18.48,81.67,0.8691,6725,A,economy,day,south,1
-0.3384,1.524,,-0.408,2.1545,65.16,-0.7514,-0.1918,1.9063,18.67,70.87,-1.0955,7378,A,economy,swing,south,0
0.9591,0.8137,-0.3487,-0.6421,7.9001,63.44,1.1367,-0.6826,-0.911,4.09,55.92,1.0285,3779,D,standard,day,north,1
1.0151,,-0.0254,0.9441,6.6322,41.94,0.7209,0.0133,,18.31,79.3,-0.0817,7608,D,premium,swing,south,0
0.6133,-0.363,-0.5985,1.1539,6.18,59.31,0.3841,-0.7011,,30.03,69.14,0.8747,8246,A,standard,night,west,0
0.2359,0.5238,-2.2698,-0.757,0.0382,33.18,0.8102,-0.3475,-1.9474,27.76,83.95,0.6174,7954,C,premium,day,north,0
-1.192,-0.1815,,-0.9857,6.1056,33.0,0.8913,0.0216,0.7225,22.63,65.83,-0.3437,6965,A,standard,swing,west,0
0.3124,-2.4874,-0.3162,-0.4346,2.9007,44.59,0.2839,-0.1434,1.8514,13.73,60.44,1.3861,1756,B,standard,night,south,1
-0.1932,2.0851,-2.3193,0.3183,6.6145,48.97,-0.3688,-2.4811,2.2743,13.41,66.03,-0.7712,5475,A,economy,swing,north,0
-0.5954,-1.7717,-0.5404,1.0521,9.7872,47.8,1.8822,-0.5881,1.7001,7.56,70.24,0.8924,2014,C,economy,day,south,1
0.2049,-1.905,-1.2922,-1.6848,2.4616,32.71,-0.1467,1.3297,0.9709,23.3,75.95,0.4255,3610,A,standard,day,east,0
-0.3482,-0.3127,,-0.3075,5.6765,61.28,3.4704,0.0513,0.5953,25.87,65.91,0.2602,6766,A,economy,swing,east,0
1.0843,-1.4728,0.6608,-0.8687,0.5863,76.72,0.1597,-0.4363,1.1737,11.8,74.41,-0.9825,5519,C,premium,swing,south,0
-0.039,1.1472,-0.1105,-0.7276,2.9054,82.37,0.6085,1.8621,-0.2227,21.35,70.39,-0.4672,9053,C,economy,night,north,0
-0.9371,-0.3009,-0.6249,-0.1742,1.7702,80.87,0.5486,0.6393,0.1173,26.73,58.13,1.6759,1148,C,standard,night,south,0
-1.1284,-0.2036,-1.3852,0.8382,2.8058,98.87,1.1747,-0.5621,0.3202,8.44,71.93,-1.1742,9596,C,economy,night,north,0
0.2056,-0.9897,1.2693,1.1245,0.078,50.05,-0.9451,0.3223,1.5756,29.61,78.1,0.0794,6457,A,economy,night,south,0
2.6998,-0.5109,-1.5996,-0.0617,,44.03,-0.3347,-0.0497,0.9679,17.0,82.45,0.5595,6182,D,standard,swing,east,1
0.4499,-1.8423,0.3032,-0.0339,,48.63,0.9237,-0.4316,-0.1255,25.43,81.93,1.318,6899,A,premium,swing,north,0
0.673,-1.0044,,0.7277,1.1957,57.21,0.1186,-0.1918,,12.86,51.87,-0.7275,6842,C,standard,night,east,1
1.0673,0.0249,-0.6081,-1.0912,0.1258,41.82,0.4516,0.5873,-0.039,8.74,73.88,0.7855,1632,C,economy,swing,west,0
-1.6292,0.7869,-0.3362,0.6372,8.3929,81.61,-1.3981,-2.2039,-0.7079,25.89,90.2,1.9166,3890,B,economy,night,east,1
0.7938,-1.4548,-0.839,0.6917,1.0404,60.81,-0.8685,0.1319,0.2933,34.58,66.94,0.2648,9146,C,economy,swing,east,0
0.3197,-0.0006,-0.7643,-1.0497,,74.09,0.0476,1.0694,0.669,11.22,57.29,0.8435,1011,A,premium,swing,west,0
-0.4177,-0.6324,,-0.9525,7.7264,34.41,-2.1459,0.9931,0.3314,13.64,78.55,-0.4344,9837,B,premium,day,east,0
-1.0074,-0.2563,-1.4582,-0.0574,7.6717,65.99,0.5208,-0.0615,0.3717,4.88,68.39,1.5896,2803,C,economy,night,,0
